# generator = UDPipe 2, https://lindat.mff.cuni.cz/services/udpipe
# udpipe_model = portuguese-gsd-ud-2.10-220711
# udpipe_model_licence = CC BY-NC-SA
# newdoc
# newpar
# sent_id = 1
# text = saiba como politicos reagiram a indicacao de alexandre de moraes para o stf moraes foi oficialmente indicado pelo presidente michel temer nesta segunda 6 para ser nomeado ele tera de ser aprovado em sabatinas na comissao de constituicao e justica e no plenario do senado leia abaixo as opinioes de politicos governistas e de oposicao em ordem alfabetica sobre a indicacao do ministro da justica alexandre de moraes para uma vaga de ministro do supremo tribunal federal para ser nomeado moraes tera de
1	saiba	saber	VERB	VERB	_	0	root	_	TokenRange=0:5
2	como	como	ADP	ADP	_	4	mark	_	TokenRange=6:10
3	politicos	politico	NOUN	NOUN	_	4	nsubj	_	TokenRange=11:20
4	reagiram	reagir	VERB	VERB	_	1	advcl	_	TokenRange=21:29
5	a	o	DET	DET	_	6	det	_	TokenRange=30:31
6	indicacao	indicacao	NOUN	NOUN	_	4	obj	_	TokenRange=32:41
7	de	de	ADP	ADP	_	8	case	_	TokenRange=42:44
8	alexandre	alexandre	NOUN	NOUN	_	6	nmod	_	TokenRange=45:54
9	de	de	ADP	ADP	_	10	case	_	TokenRange=55:57
10	moraes	morae	NOUN	NOUN	_	8	nmod	_	TokenRange=58:64
11	para	para	ADP	ADP	_	13	case	_	TokenRange=65:69
12	o	o	DET	DET	_	13	det	_	TokenRange=70:71
13	stf	_	NOUN	NOUN	_	6	nmod	_	TokenRange=72:75
14	moraes	_	NOUN	NOUN	_	17	nsubj:pass	_	TokenRange=76:82
15	foi	_	AUX	AUX	_	17	aux:pass	_	TokenRange=83:86
16	oficialmente	oficialmente	ADV	ADV	_	17	advmod	_	TokenRange=87:99
17	indicado	indicar	VERB	VERB	_	4	conj	_	TokenRange=100:108
18-19	pelo	_	_	_	_	_	_	_	TokenRange=109:113
18	por	por	ADP	ADP	_	20	case	_	_
19	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	20	det	_	_
20	presidente	presidente	NOUN	NOUN	_	17	nmod	_	TokenRange=114:124
21	michel	michel	ADJ	ADJ	_	20	amod	_	TokenRange=125:131
22	temer	temer	NOUN	NOUN	_	20	appos	_	TokenRange=132:137
23	nesta	_	ADP	ADP	_	25	case	_	TokenRange=138:143
24	segunda	segundo	ADJ	ADJ	_	25	amod	_	TokenRange=144:151
25	6	_	NUM	NUM	NumType=Card	17	nmod	_	TokenRange=152:153
26	para	_	ADP	ADP	_	28	mark	_	TokenRange=154:158
27	ser	ser	AUX	AUX	_	28	aux:pass	_	TokenRange=159:162
28	nomeado	nomear	VERB	VERB	_	17	advcl	_	TokenRange=163:170
29	ele	_	PRON	PRON	_	33	nsubj:pass	_	TokenRange=171:174
30	tera	terar	AUX	AUX	_	33	aux	_	TokenRange=175:179
31	de	_	ADP	ADP	_	33	mark	_	TokenRange=180:182
32	ser	ser	AUX	AUX	_	33	aux:pass	_	TokenRange=183:186
33	aprovado	aprovar	VERB	VERB	_	17	parataxis	_	TokenRange=187:195
34	em	em	ADP	ADP	_	35	case	_	TokenRange=196:198
35	sabatinas	_	NOUN	NOUN	_	33	nmod	_	TokenRange=199:208
36-37	na	_	_	_	_	_	_	_	TokenRange=209:211
36	em	em	ADP	ADP	_	38	case	_	_
37	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	38	det	_	_
38	comissao	comissao	NOUN	NOUN	_	33	nmod	_	TokenRange=212:220
39	de	de	ADP	ADP	_	40	case	_	TokenRange=221:223
40	constituicao	constituicao	NOUN	NOUN	_	38	nmod	_	TokenRange=224:236
41	e	e	CCONJ	CONJ	_	42	cc	_	TokenRange=237:238
42	justica	_	NOUN	NOUN	_	40	conj	_	TokenRange=239:246
43	e	e	CCONJ	CONJ	_	46	cc	_	TokenRange=247:248
44-45	no	_	_	_	_	_	_	_	TokenRange=249:251
44	em	em	ADP	ADP	_	46	case	_	_
45	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	46	det	_	_
46	plenario	plenario	NOUN	NOUN	_	38	conj	_	TokenRange=252:260
47-48	do	_	_	_	_	_	_	_	TokenRange=261:263
47	de	de	ADP	ADP	_	49	case	_	_
48	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	49	det	_	_
