# generator = UDPipe 2, https://lindat.mff.cuni.cz/services/udpipe
# udpipe_model = portuguese-gsd-ud-2.10-220711
# udpipe_model_licence = CC BY-NC-SA
# newdoc
# newpar
# sent_id = 1
# text = nas redes sociais joaquim barbosa cobrou investigacoes sobre morte de teori na noite de ontem 19 joaquim barbosa emitiu sua opiniao sobre o tragico acidente aereo que vitimou o ministro teori zavascki relator da lavajato abre aspas o que mais precisa acontecer para definitivamente nos conscientizarmos de que estamos sendo governados por criminosos em confirmado este crime esta mais do que na hora da min carmen lucia pedir a intervencao fecha aspas leia tambem
1-2	nas	_	_	_	_	_	_	_	TokenRange=0:3
1	em	em	ADP	ADP	_	3	case	_	_
2	as	o	DET	DET	Definite=Def|Gender=Fem|Number=Plur|PronType=Art	3	det	_	_
3	redes	rede	NOUN	NOUN	_	7	nmod	_	TokenRange=4:9
4	sociais	social	ADJ	ADJ	_	3	amod	_	TokenRange=10:17
5	joaquim	joaquim	NOUN	NOUN	_	7	nsubj	_	TokenRange=18:25
6	barbosa	barbosa	NOUN	NOUN	_	5	flat	_	TokenRange=26:33
7	cobrou	cobrar	VERB	VERB	_	0	root	_	TokenRange=34:40
8	investigacoes	investigacoe	NOUN	NOUN	_	7	obj	_	TokenRange=41:54
9	sobre	_	ADP	ADP	_	10	case	_	TokenRange=55:60
10	morte	morte	NOUN	NOUN	_	8	nmod	_	TokenRange=61:66
11	de	de	ADP	ADP	_	12	case	_	TokenRange=67:69
12	teori	teori	NOUN	NOUN	_	10	nmod	_	TokenRange=70:75
13-14	na	_	_	_	_	_	_	_	TokenRange=76:78
13	em	em	ADP	ADP	_	15	case	_	_
14	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	15	det	_	_
15	noite	noite	NOUN	NOUN	_	7	nmod	_	TokenRange=79:84
16	de	_	ADP	ADP	_	17	mark	_	TokenRange=85:87
17	ontem	ontem	ADV	ADV	_	15	nmod	_	TokenRange=88:93
18	19	_	NUM	NUM	NumType=Card	17	nmod	_	TokenRange=94:96
19	joaquim	joaquim	NOUN	NOUN	_	21	nsubj	_	TokenRange=97:104
20	barbosa	barboso	NOUN	NOUN	_	19	flat	_	TokenRange=105:112
21	emitiu	emitir	VERB	VERB	_	7	conj	_	TokenRange=113:119
22	sua	_	DET	DET	_	23	det:poss	_	TokenRange=120:123
23	opiniao	opiniao	NOUN	NOUN	_	21	obj	_	TokenRange=124:131
24	sobre	_	ADP	ADP	_	27	case	_	TokenRange=132:137
25	o	o	DET	DET	_	27	det	_	TokenRange=138:139
26	tragico	tragico	ADJ	ADJ	_	27	amod	_	TokenRange=140:147
27	acidente	acidente	NOUN	NOUN	_	23	nmod	_	TokenRange=148:156
28	aereo	aereo	ADJ	ADJ	_	27	amod	_	TokenRange=157:162
29	que	_	PRON	PRON	_	30	nsubj	_	TokenRange=163:166
30	vitimou	vitimar	VERB	VERB	_	27	acl:relcl	_	TokenRange=167:174
31	o	o	DET	DET	_	32	det	_	TokenRange=175:176
32	ministro	ministro	NOUN	NOUN	_	30	obj	_	TokenRange=177:185
33	teori	teori	NOUN	NOUN	_	32	appos	_	TokenRange=186:191
34	zavascki	_	NOUN	NOUN	_	32	appos	_	TokenRange=192:200
