# generator = UDPipe 2, https://lindat.mff.cuni.cz/services/udpipe
# udpipe_model = portuguese-gsd-ud-2.10-220711
# udpipe_model_licence = CC BY-NC-SA
# newdoc
# newpar
# sent_id = 1
# text = perdeu a blindagem diario oficial confirma exoneracao de lula dilma rousseff exonerou seus ministros e o primeiro nome da lista e o do expresidente lula os atos foram oficializados no diario oficial da uniao o juiz sergio moro da 13 vara federal de curitiba ja recebeu da 4 vara criminal de sao paulo o pedido de prisao preventiva de lula leia mais aqui moro ja autorizou a transferencia de quatro presos da lava jato da carceragem da pf os encarcerados foram transferidos da capital curitiba para o presidio de pinhais tambem no parana uma coisa ja e costume em curitiba quando sergio moro esvazia a cadeia da pf e porque novos hospedes poderao chegar a qualquer momento em breve o hotel petista estara lotado novamente
1	perdeu	perder	VERB	VERB	_	0	root	_	TokenRange=0:6
2	a	o	DET	DET	_	3	det	_	TokenRange=7:8
3	blindagem	blindagem	NOUN	NOUN	_	1	obj	_	TokenRange=9:18
4	diario	diario	NOUN	NOUN	_	1	nsubj	_	TokenRange=19:25
5	oficial	oficial	ADJ	ADJ	_	4	amod	_	TokenRange=26:33
6	confirma	confirmar	VERB	VERB	_	1	parataxis	_	TokenRange=34:42
7	exoneracao	exoneracao	NOUN	NOUN	_	6	obj	_	TokenRange=43:53
8	de	de	ADP	ADP	_	9	case	_	TokenRange=54:56
9	lula	lula	NOUN	NOUN	_	7	nmod	_	TokenRange=57:61
10	dilma	dilma	NOUN	NOUN	_	12	nsubj	_	TokenRange=62:67
11	rousseff	rousseff	NOUN	NOUN	_	12	nsubj	_	TokenRange=68:76
12	exonerou	exonerar	VERB	VERB	_	1	conj	_	TokenRange=77:85
13	seus	_	DET	DET	_	14	det:poss	_	TokenRange=86:90
14	ministros	ministro	NOUN	NOUN	_	12	obj	_	TokenRange=91:100
15	e	e	CCONJ	CONJ	_	18	cc	_	TokenRange=101:102
16	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	18	det	_	TokenRange=103:104
17	primeiro	primeiro	ADJ	ADJ	_	18	amod	_	TokenRange=105:113
18	nome	nome	NOUN	NOUN	_	14	conj	_	TokenRange=114:118
19-20	da	_	_	_	_	_	_	_	TokenRange=119:121
19	de	de	ADP	ADP	_	21	case	_	_
20	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	21	det	_	_
21	lista	lista	NOUN	NOUN	_	18	nmod	_	TokenRange=122:127
22	e	e	CCONJ	CONJ	_	23	cc	_	TokenRange=128:129
23	o	o	PRON	PRON	_	18	conj	_	TokenRange=130:131
24-25	do	_	_	_	_	_	_	_	TokenRange=132:134
24	de	de	ADP	ADP	_	26	case	_	_
25	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	26	det	_	_
26	expresidente	expresidente	NOUN	NOUN	_	23	nmod	_	TokenRange=135:147
27	lula	lula	ADJ	ADJ	_	26	amod	_	TokenRange=148:152
28	os	o	DET	DET	_	29	det	_	TokenRange=153:155
29	atos	ato	NOUN	NOUN	_	31	nsubj:pass	_	TokenRange=156:160
30	foram	_	AUX	AUX	_	31	aux:pass	_	TokenRange=161:166
31	oficializados	oficializar	VERB	VERB	_	1	conj	_	TokenRange=167:180
32-33	no	_	_	_	_	_	_	_	TokenRange=181:183
32	em	em	ADP	ADP	_	34	case	_	_
33	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	34	det	_	_
34	diario	diario	NOUN	NOUN	_	31	nmod	_	TokenRange=184:190
35	oficial	oficial	ADJ	ADJ	_	34	amod	_	TokenRange=191:198
36-37	da	_	_	_	_	_	_	_	TokenRange=199:201
36	de	de	ADP	ADP	_	38	case	_	_
37	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	38	det	_	_
38	uniao	uniao	NOUN	NOUN	_	34	nmod	_	TokenRange=202:207
39	o	o	DET	DET	_	40	det	_	TokenRange=208:209
40	juiz	juiz	NOUN	NOUN	_	51	nsubj	_	TokenRange=210:214
41	sergio	_	NOUN	NOUN	_	40	appos	_	TokenRange=215:221
42	moro	moro	NOUN	NOUN	_	41	flat	_	TokenRange=222:226
43-44	da	_	_	_	_	_	_	_	TokenRange=227:229
43	de	de	ADP	ADP	_	46	case	_	_
44	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	46	det	_	_
45	13	_	NUM	NUM	NumType=Card	46	nummod	_	TokenRange=230:232
46	vara	vara	NOUN	NOUN	_	40	nmod	_	TokenRange=233:237
47	federal	federal	ADJ	ADJ	_	46	amod	_	TokenRange=238:245
48	de	de	ADP	ADP	_	49	case	_	TokenRange=246:248
49	curitiba	curitiba	NOUN	NOUN	_	46	nmod	_	TokenRange=249:257
50	ja	ja	ADV	ADV	_	51	advmod	_	TokenRange=258:260
51	recebeu	receber	VERB	VERB	_	31	conj	_	TokenRange=261:268
52-53	da	_	_	_	_	_	_	_	TokenRange=269:271
52	de	de	ADP	ADP	_	55	case	_	_
53	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	55	det	_	_
54	4	_	NUM	NUM	NumType=Card	55	nummod	_	TokenRange=272:273
55	vara	vara	NOUN	NOUN	_	51	nmod	_	TokenRange=274:278
56	criminal	criminal	ADJ	ADJ	_	55	amod	_	TokenRange=279:287
57	de	de	ADP	ADP	_	58	case	_	TokenRange=288:290
58	sao	sao	NOUN	NOUN	_	55	nmod	_	TokenRange=291:294
59	paulo	paulo	NOUN	NOUN	_	58	flat	_	TokenRange=295:300
60	o	o	DET	DET	_	61	det	_	TokenRange=301:302
61	pedido	pedido	NOUN	NOUN	_	51	obj	_	TokenRange=303:309
62	de	de	ADP	ADP	_	63	case	_	TokenRange=310:312
63	prisao	prisao	NOUN	NOUN	_	61	nmod	_	TokenRange=313:319
64	preventiva	preventivo	ADJ	ADJ	_	63	amod	_	TokenRange=320:330
65	de	de	ADP	ADP	_	66	case	_	TokenRange=331:333
66	lula	lula	NOUN	NOUN	_	63	nmod	_	TokenRange=334:338
67	leia	ler	VERB	VERB	_	51	parataxis	_	TokenRange=339:343
68	mais	mais	ADV	ADV	_	69	advmod	_	TokenRange=344:348
69	aqui	aqui	ADV	ADV	_	67	advmod	_	TokenRange=349:353
70	moro	moro	NOUN	NOUN	_	91	nsubj:pass	_	TokenRange=354:358
71	ja	ja	ADV	ADV	_	91	advmod	_	TokenRange=359:361
72	autorizou	autorizar	VERB	VERB	_	67	conj	_	TokenRange=362:371
73	a	o	DET	DET	_	74	det	_	TokenRange=372:373
74	transferencia	transferencia	NOUN	NOUN	_	91	obj	_	TokenRange=374:387
75	de	de	ADP	ADP	_	77	case	_	TokenRange=388:390
76	quatro	_	NUM	NUM	NumType=Card	77	nummod	_	TokenRange=391:397
77	presos	preso	NOUN	NOUN	_	74	nmod	_	TokenRange=398:404
78-79	da	_	_	_	_	_	_	_	TokenRange=405:407
78	de	de	ADP	ADP	_	80	case	_	_
79	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	80	det	_	_
80	lava	lava	NOUN	NOUN	_	77	nmod	_	TokenRange=408:412
81	jato	jato	NOUN	NOUN	_	80	flat	_	TokenRange=413:417
82-83	da	_	_	_	_	_	_	_	TokenRange=418:420
82	de	de	ADP	ADP	_	84	case	_	_
83	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	84	det	_	_
84	carceragem	carceragem	NOUN	NOUN	_	77	nmod	_	TokenRange=421:431
85-86	da	_	_	_	_	_	_	_	TokenRange=432:434
85	de	de	ADP	ADP	_	87	case	_	_
86	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	87	det	_	_
87	pf	_	NOUN	NOUN	_	84	nmod	_	TokenRange=435:437
88	os	o	DET	DET	_	89	det	_	TokenRange=438:440
89	encarcerados	encarcerado	NOUN	NOUN	_	91	nsubj:pass	_	TokenRange=441:453
90	foram	_	AUX	AUX	_	91	aux:pass	_	TokenRange=454:459
91	transferidos	transferir	VERB	VERB	_	67	parataxis	_	TokenRange=460:472
92-93	da	_	_	_	_	_	_	_	TokenRange=473:475
92	de	de	ADP	ADP	_	94	case	_	_
93	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	94	det	_	_
94	capital	capital	NOUN	NOUN	_	91	nmod	_	TokenRange=476:483
95	curitiba	curitibo	ADJ	ADJ	_	94	amod	_	TokenRange=484:492
96	para	para	ADP	ADP	_	98	case	_	TokenRange=493:497
97	o	o	DET	DET	_	98	det	_	TokenRange=498:499
98	presidio	presidio	NOUN	NOUN	_	74	nmod	_	TokenRange=500:508
99	de	de	ADP	ADP	_	100	case	_	TokenRange=509:511
100	pinhais	pinhal	NOUN	NOUN	_	98	nmod	_	TokenRange=512:519
101	tambem	tambem	ADV	ADV	_	91	advmod	_	TokenRange=520:526
102-103	no	_	_	_	_	_	_	_	TokenRange=527:529
102	em	em	ADP	ADP	_	104	case	_	_
103	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	104	det	_	_
104	parana	parana	NOUN	NOUN	_	91	nmod	_	TokenRange=530:536
105	uma	um	DET	DET	_	106	det	_	TokenRange=537:540
106	coisa	coisa	NOUN	NOUN	_	91	nsubj:pass	_	TokenRange=541:546
107	ja	ja	ADV	ADV	_	109	advmod	_	TokenRange=547:549
108	e	e	CCONJ	CONJ	_	109	cc	_	TokenRange=550:551
109	costume	costume	NOUN	NOUN	_	91	conj	_	TokenRange=552:559
110	em	em	ADP	ADP	_	111	case	_	TokenRange=560:562
111	curitiba	curitiba	NOUN	NOUN	_	109	nmod	_	TokenRange=563:571
112	quando	_	CCONJ	CONJ	_	115	mark	_	TokenRange=572:578
113	sergio	_	PROPN	PNOUN	_	115	nsubj	_	TokenRange=579:585
114	moro	moro	NOUN	NOUN	_	113	flat	_	TokenRange=586:590
115	esvazia	esvazer	VERB	VERB	_	91	advcl	_	TokenRange=591:598
