1 alvo alvo 12 NOUN nsubj
2 de de 4 ADP case
3 a o 4 DET det
4 lava lava 1 NOUN nmod
5 jato jato 4 ADJ flat
6 bendine bendine 1 NOUN appos
7 tinha ter 1 VERB acl:relcl
8 passagem passagem 7 NOUN obj
9 comprada comprar 8 VERB acl
10 para para 11 ADP case
11 portugal portugal 9 NOUN nmod
12 diz dizer 0 VERB root
13 mpf mpf 12 NOUN nsubj
14 expresidente expresidente 13 NOUN appos
15 de de 17 ADP case
16 o o 17 DET det
17 banco banco 14 NOUN nmod
18 de de 20 ADP case
19 o o 20 DET det
20 brasil brasil 17 NOUN nmod
21 e e 24 CCONJ cc
22 de de 24 ADP case
23 a o 24 DET det
24 petrobras petrobra 17 NOUN conj
25 e e 26 CCONJ cc
26 suspeito suspeito 14 NOUN conj
27 de de 28 ADP mark
28 receber receber 26 VERB nmod
29 r r 28 NOUN obj
30 3 3 31 NUM nummod
31 milhoes milhoes 29 NUM nummod
32 em em 33 ADP case
33 propina propina 28 NOUN nmod
34 de de 36 ADP case
35 a o 36 DET det
36 odebrecht odebrecht 33 NOUN nmod
37 preso preso 36 VERB acl
38 em em 41 ADP case
39 a o 41 DET det
40 42 42 41 NUM nummod
41 fase fase 37 NOUN nmod
42 de de 44 ADP case
43 a o 44 DET det
44 lava lava 41 NOUN nmod
45 jato jato 44 NOUN amod
46 nesta nesta 47 ADP case
47 quintafeira quintafeira 37 NOUN nmod
48 27 27 47 NUM appos
49 o o 50 DET det
50 expresidente expresidente 63 NOUN nsubj
51 de de 53 ADP case
52 o o 53 DET det
53 banco banco 50 NOUN nmod
54 de de 56 ADP case
55 o o 56 DET det
56 brasil brasil 53 NOUN nmod
57 e e 60 CCONJ cc
58 de de 60 ADP case
59 a o 60 DET det
60 petrobras petrobras 56 NOUN conj
61 aldemir aldemir 50 NOUN appos
62 bendine bendine 61 NOUN flat
63 tinha ter 138 VERB ccomp
64 uma um 65 DET det
65 passagem passagem 63 NOUN obj
66 de de 67 ADP case
67 ida ida 65 NOUN nmod
68 para para 69 ADP case
69 portugal portugal 185 NOUN nmod
70 a o 259 DET det
71 viagem viagem 72 NOUN nsubj
72 estava estar 199 VERB ccomp
73 marcada marcado 72 ADJ xcomp
74 para para 76 ADP case
75 esta esta 76 DET det
76 sextafeira sextafeira 73 NOUN nmod
77 28 28 76 NUM nmod
78 descobriu descobrir 199 VERB parataxis
79 o o 80 DET det
80 ministerio ministerio 78 NOUN obj
81 publico publico 80 ADJ amod
82 federal federal 80 ADJ amod
83 mpf mpf 78 NOUN nsubj
84 apos apos 85 ADP case
85 quebra quebra 185 NOUN nmod
86 de de 88 ADP case
87 o o 88 DET det
88 sigilo sigilo 85 NOUN nmod
89 telefonico telefonico 88 ADJ amod
90 de de 92 ADP case
91 o o 92 DET det
92 suspeito suspeito 88 NOUN nmod
93 e e 94 CCONJ cc
94 importante importante 199 ADJ conj
95 destacar destacar 78 VERB xcomp
96 que que 209 CCONJ mark
97 o o 98 DET det
98 mpf mpf 99 NOUN nsubj
99 encontrou encontrar 95 VERB ccomp
100 apenas apenas 99 ADV advmod
101 a o 102 DET det
102 passagem passagem 99 NOUN obj
103 de de 104 ADP case
104 ida ida 102 NOUN nmod
105 nao nao 106 ADV advmod
106 significa significar 202 VERB conj
107 que que 209 CCONJ mark
108 nao nao 109 ADV advmod
109 havia haver 106 VERB ccomp
110 a o 111 DET det
111 passagem passagem 209 NOUN obj
112 de de 113 ADP case
113 volta volta 111 NOUN nmod
114 afirmou afirmar 199 VERB ccomp
115 athayde athayde 209 NOUN nsubj
116 ribeiro ribeiro 115 NOUN flat
117 costa costa 115 NOUN flat
118 procurador procurador 115 NOUN appos
119 de de 121 ADP case
120 a o 121 DET det
121 republica republica 118 NOUN nmod
122 em em 123 ADP case
123 entrevista entrevista 159 NOUN nmod
124 a a 125 ADP case
125 imprensa imprensa 123 NOUN nmod
126 em em 127 ADP case
127 curitiba curitiba 162 NOUN nmod
128 a a 130 ADP case
129 o o 130 DET det
130 detalhar detalhar 245 VERB advcl
131 a o 133 DET det
132 42 42 133 NUM nummod
133 fase fase 130 NOUN obj
134 de de 136 ADP case
135 a o 136 DET det
136 operacao operacao 133 NOUN nmod
137 costa costa 136 NOUN flat
138 afirmou afirmar 12 VERB parataxis
139 que que 238 CCONJ mark
140 varios varios 141 DET det
141 fatores fator 238 NOUN nsubj
142 justificaram justificar 138 VERB ccomp
143 a o 144 DET det
144 prisao prisao 159 NOUN obj
145 temporaria temporar 144 ADJ amod
146 de de 147 ADP case
147 bendine bendine 144 NOUN nmod
148 que que 149 PRON nsubj
149 ocorreu ocorrer 144 VERB acl:relcl
150 em em 151 ADP case
151 sorocaba sorocaba 149 NOUN nmod
152 sp sp 151 ADJ appos
153 entre entre 154 ADP case
154 eles eles 155 PRON nmod
155 esta esta 199 PRON ccomp
156 o o 157 DET det
157 fato fato 155 NOUN nsubj
158 de de 159 ADP mark
159 haver haver 157 VERB nmod
160 indicios indicio 159 NOUN obj
161 de de 162 ADP case
162 cometimento cometimento 160 NOUN nmod
163 de de 164 ADP case
164 crimes crime 162 NOUN nmod
165 apos apos 167 ADP case
166 a o 167 DET det
167 deflagracao deflagracao 159 NOUN nmod
168 de de 170 ADP case
169 a o 170 DET det
170 lava lava 167 NOUN nmod
171 jato jato 170 NOUN flat
172 e e 175 CCONJ cc
173 tambem tambem 175 ADV advmod
174 o o 175 DET det
175 fato fato 14 NOUN conj
176 de de 178 ADP mark
177 bendine bendine 178 NOUN nsubj
178 ter ter 175 VERB nmod
179 nacionalidade nacionalidade 178 NOUN obj
180 italiana italiano 179 ADJ amod
181 todos todos 183 DET det
182 esses esses 183 DET det
183 fatos fato 185 NOUN nsubj:pass
184 foram foram 185 AUX aux:pass
185 levados levar 28 VERB parataxis
186 em em 187 ADP case
