# generator = UDPipe 2, https://lindat.mff.cuni.cz/services/udpipe
# udpipe_model = portuguese-gsd-ud-2.10-220711
# udpipe_model_licence = CC BY-NC-SA
# newdoc
# newpar
# sent_id = 1
# text = querem parar a lavajato sede da policia federal e atacada a tiros o predio da policia federal em goiania foi metralhado na noite de ontem 19 os vidros foram perfurados por varios disparos em nota a pf disse que instaurou inquerito policial para apurar o caso e os responsaveis pelo ato a instituicao disse que este crime afronta o estado democratico de direito e diz que continuara combatendo o crime organizado de acordo com a assessoria da pf nao serao divulgadas quaisquer detalhes ate que a pericia seja feita e os todos os depoimentos sejam concluidos
1	querem	querer	VERB	VERB	_	0	root	_	TokenRange=0:6
2	parar	parar	VERB	VERB	_	1	xcomp	_	TokenRange=7:12
3	a	o	DET	DET	_	5	det	_	TokenRange=13:14
4	lavajato	lavajato	ADJ	ADJ	_	5	amod	_	TokenRange=15:23
5	sede	sede	NOUN	NOUN	_	2	obj	_	TokenRange=24:28
6-7	da	_	_	_	_	_	_	_	TokenRange=29:31
6	de	de	ADP	ADP	_	8	case	_	_
7	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	8	det	_	_
8	policia	policia	NOUN	NOUN	_	5	nmod	_	TokenRange=32:39
9	federal	federal	ADJ	ADJ	_	8	amod	_	TokenRange=40:47
10	e	e	CCONJ	CONJ	_	11	cc	_	TokenRange=48:49
11	atacada	atacar	VERB	VERB	_	2	conj	_	TokenRange=50:57
12	a	_	ADP	ADP	_	13	case	_	TokenRange=58:59
13	tiros	tiro	NOUN	NOUN	_	11	nmod	_	TokenRange=60:65
14	o	o	DET	DET	_	15	det	_	TokenRange=66:67
15	predio	predio	NOUN	NOUN	_	23	nsubj:pass	_	TokenRange=68:74
16-17	da	_	_	_	_	_	_	_	TokenRange=75:77
16	de	de	ADP	ADP	_	18	case	_	_
17	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	18	det	_	_
18	policia	policia	NOUN	NOUN	_	15	nmod	_	TokenRange=78:85
19	federal	federal	ADJ	ADJ	_	18	amod	_	TokenRange=86:93
20	em	em	ADP	ADP	_	21	case	_	TokenRange=94:96
21	goiania	goiania	NOUN	NOUN	_	11	nmod	_	TokenRange=97:104
22	foi	_	AUX	AUX	_	23	aux:pass	_	TokenRange=105:108
23	metralhado	metralhar	VERB	VERB	_	1	conj	_	TokenRange=109:119
24-25	na	_	_	_	_	_	_	_	TokenRange=120:122
24	em	em	ADP	ADP	_	26	case	_	_
25	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	26	det	_	_
26	noite	noite	NOUN	NOUN	_	23	nmod	_	TokenRange=123:128
27	de	_	ADP	ADP	_	28	mark	_	TokenRange=129:131
28	ontem	ontem	ADV	ADV	_	26	nmod	_	TokenRange=132:137
29	19	_	NUM	NUM	NumType=Card	28	nmod	_	TokenRange=138:140
30	os	o	DET	DET	_	31	det	_	TokenRange=141:143
31	vidros	vidro	NOUN	NOUN	_	33	nsubj:pass	_	TokenRange=144:150
32	foram	_	AUX	AUX	_	33	aux:pass	_	TokenRange=151:156
33	perfurados	perfurar	VERB	VERB	_	1	parataxis	_	TokenRange=157:167
34	por	por	ADP	ADP	_	36	case	_	TokenRange=168:171
35	varios	_	DET	DET	_	36	det	_	TokenRange=172:178
36	disparos	disparo	NOUN	NOUN	_	33	nmod	_	TokenRange=179:187
37	em	em	ADP	ADP	_	38	case	_	TokenRange=188:190
38	nota	nota	NOUN	NOUN	_	33	nmod	_	TokenRange=191:195
39	a	o	DET	DET	_	40	det	_	TokenRange=196:197
40	pf	_	NOUN	NOUN	_	41	nsubj	_	TokenRange=198:200
41	disse	dizer	VERB	VERB	_	1	parataxis	_	TokenRange=201:206
42	que	que	CCONJ	CONJ	_	43	mark	_	TokenRange=207:210
43	instaurou	instaurar	VERB	VERB	_	41	ccomp	_	TokenRange=211:220
44	inquerito	inquerito	NOUN	NOUN	_	43	obj	_	TokenRange=221:230
45	policial	policial	ADJ	ADJ	_	44	amod	_	TokenRange=231:239
46	para	_	ADP	ADP	_	47	mark	_	TokenRange=240:244
47	apurar	apurar	VERB	VERB	_	43	advcl	_	TokenRange=245:251
48	o	o	DET	DET	_	49	det	_	TokenRange=252:253
49	caso	caso	NOUN	NOUN	_	47	obj	_	TokenRange=254:258
50	e	e	CCONJ	CONJ	_	58	cc	_	TokenRange=259:260
51	os	o	DET	DET	_	52	det	_	TokenRange=261:263
52	responsaveis	responsavel	NOUN	NOUN	_	58	nsubj	_	TokenRange=264:276
53-54	pelo	_	_	_	_	_	_	_	TokenRange=277:281
53	por	por	ADP	ADP	_	55	case	_	_
54	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	55	det	_	_
55	ato	ato	NOUN	NOUN	_	52	nmod	_	TokenRange=282:285
56	a	o	DET	DET	_	57	det	_	TokenRange=286:287
57	instituicao	instituicao	NOUN	NOUN	_	58	nsubj	_	TokenRange=288:299
58	disse	dizer	VERB	VERB	_	43	conj	_	TokenRange=300:305
59	que	que	CCONJ	CONJ	_	62	mark	_	TokenRange=306:309
60	este	_	DET	DET	_	61	det	_	TokenRange=310:314
61	crime	crime	NOUN	NOUN	_	62	nsubj	_	TokenRange=315:320
62	afronta	afrontar	VERB	VERB	_	58	ccomp	_	TokenRange=321:328
63	o	o	DET	DET	_	64	det	_	TokenRange=329:330
64	estado	estado	NOUN	NOUN	_	62	obj	_	TokenRange=331:337
65	democratico	democratico	ADJ	ADJ	_	64	amod	_	TokenRange=338:349
66	de	de	ADP	ADP	_	67	case	_	TokenRange=350:352
67	direito	direito	NOUN	NOUN	_	64	nmod	_	TokenRange=353:360
68	e	e	CCONJ	CONJ	_	69	cc	_	TokenRange=361:362
69	diz	dizer	VERB	VERB	_	58	conj	_	TokenRange=363:366
70	que	que	CCONJ	CONJ	_	72	mark	_	TokenRange=367:370
71	continuara	continuar	AUX	AUX	_	72	aux	_	TokenRange=371:381
72	combatendo	combater	VERB	VERB	_	69	ccomp	_	TokenRange=382:392
73	o	o	DET	DET	_	74	det	_	TokenRange=393:394
74	crime	crime	NOUN	NOUN	_	72	obj	_	TokenRange=395:400
75	organizado	organizado	ADJ	ADJ	_	74	amod	_	TokenRange=401:411
76	de	de	ADP	ADP	_	77	case	_	TokenRange=412:414
