# generator = UDPipe 2, https://lindat.mff.cuni.cz/services/udpipe
# udpipe_model = portuguese-gsd-ud-2.10-220711
# udpipe_model_licence = CC BY-NC-SA
# newdoc
# newpar
# sent_id = 1
# text = mostra celebra cinema de luis bunuel o mais iconoclasta dos surrealistas diretor subverteu os fundamentos da tradicao da familia e da propriedade evento sera no sesc pinheiros confira videos em sua autobiografia escrita em parceria com o roteirista jeanclaude carriere meu ultimo suspiro luis bunuel ratifica seu odio a informacao mas afirma que morto gostaria de erguerse a cada dez anos na tumba e caminhar ate a banca para comprar jornais nao pediria mais nada com os jornais debaixo do braco livido esbarrando nos muros retornaria ao cemiterio e leria os desastres do mundo antes de tornar
1	mostra	mostrar	VERB	VERB	_	0	root	_	TokenRange=0:6
2	celebra	celebra	ADJ	ADJ	_	1	xcomp	_	TokenRange=7:14
3	cinema	cinema	NOUN	NOUN	_	1	nsubj	_	TokenRange=15:21
4	de	de	ADP	ADP	_	5	case	_	TokenRange=22:24
5	luis	_	NOUN	NOUN	_	3	nmod	_	TokenRange=25:29
6	bunuel	bunuel	NOUN	NOUN	_	5	flat	_	TokenRange=30:36
7	o	o	DET	DET	_	9	det	_	TokenRange=37:38
8	mais	mais	ADV	ADV	_	9	advmod	_	TokenRange=39:43
9	iconoclasta	iconoclasta	NOUN	NOUN	_	1	nsubj	_	TokenRange=44:55
10-11	dos	_	_	_	_	_	_	_	TokenRange=56:59
10	de	de	ADP	ADP	_	12	case	_	_
11	os	o	DET	DET	Definite=Def|Gender=Masc|Number=Plur|PronType=Art	12	det	_	_
12	surrealistas	surrealista	NOUN	NOUN	_	9	nmod	_	TokenRange=60:72
13	diretor	diretor	NOUN	NOUN	_	12	amod	_	TokenRange=73:80
14	subverteu	subverter	VERB	VERB	_	1	parataxis	_	TokenRange=81:90
15	os	o	DET	DET	_	16	det	_	TokenRange=91:93
16	fundamentos	fundamento	NOUN	NOUN	_	14	obj	_	TokenRange=94:105
17-18	da	_	_	_	_	_	_	_	TokenRange=106:108
17	de	de	ADP	ADP	_	19	case	_	_
18	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	19	det	_	_
19	tradicao	tradicao	NOUN	NOUN	_	16	nmod	_	TokenRange=109:117
20-21	da	_	_	_	_	_	_	_	TokenRange=118:120
20	de	de	ADP	ADP	_	22	case	_	_
21	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	22	det	_	_
22	familia	familia	NOUN	NOUN	_	19	nmod	_	TokenRange=121:128
23	e	e	CCONJ	CONJ	_	26	cc	_	TokenRange=129:130
24-25	da	_	_	_	_	_	_	_	TokenRange=131:133
24	de	de	ADP	ADP	_	26	case	_	_
25	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	26	det	_	_
26	propriedade	propriedade	NOUN	NOUN	_	22	conj	_	TokenRange=134:145
27	evento	evento	NOUN	NOUN	_	28	nsubj	_	TokenRange=146:152
28	sera	_	VERB	VERB	_	14	conj	_	TokenRange=153:157
29-30	no	_	_	_	_	_	_	_	TokenRange=158:160
29	em	em	ADP	ADP	_	31	case	_	_
30	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	31	det	_	_
31	sesc	_	NOUN	NOUN	_	28	nmod	_	TokenRange=161:165
32	pinheiros	pinheiro	NOUN	NOUN	_	31	flat	_	TokenRange=166:175
33	confira	conferir	VERB	VERB	_	14	parataxis	_	TokenRange=176:183
34	videos	video	NOUN	NOUN	_	33	obj	_	TokenRange=184:190
35	em	em	ADP	ADP	_	37	case	_	TokenRange=191:193
36	sua	_	DET	DET	_	37	det:poss	_	TokenRange=194:197
37	autobiografia	autobiografia	NOUN	NOUN	_	33	nmod	_	TokenRange=198:211
38	escrita	escrever	VERB	VERB	_	37	acl	_	TokenRange=212:219
39	em	em	ADP	ADP	_	40	case	_	TokenRange=220:222
40	parceria	parceria	NOUN	NOUN	_	38	nmod	_	TokenRange=223:231
41	com	com	ADP	ADP	_	43	case	_	TokenRange=232:235
42	o	o	DET	DET	_	43	det	_	TokenRange=236:237
43	roteirista	roteirista	NOUN	NOUN	_	40	nmod	_	TokenRange=238:248
44	jeanclaude	jeanclaude	NOUN	NOUN	_	43	appos	_	TokenRange=249:259
45	carriere	_	NOUN	NOUN	_	43	flat	_	TokenRange=260:268
46	meu	_	DET	DET	_	48	det:poss	_	TokenRange=269:272
47	ultimo	_	ADJ	ADJ	_	48	amod	_	TokenRange=273:279
48	suspiro	suspiro	NOUN	NOUN	_	33	nsubj	_	TokenRange=280:287
49	luis	_	PROPN	PNOUN	_	51	nsubj	_	TokenRange=288:292
50	bunuel	_	ADJ	NOUN	_	49	flat	_	TokenRange=293:299
51	ratifica	ratificar	VERB	VERB	_	1	parataxis	_	TokenRange=300:308
52	seu	_	DET	DET	_	53	det:poss	_	TokenRange=309:312
53	odio	odio	NOUN	NOUN	_	51	obj	_	TokenRange=313:317
54	a	_	ADP	ADP	_	55	case	_	TokenRange=318:319
55	informacao	informacao	NOUN	NOUN	_	53	nmod	_	TokenRange=320:330
56	mas	mas	CCONJ	CONJ	_	57	cc	_	TokenRange=331:334
57	afirma	afirmar	VERB	VERB	_	51	conj	_	TokenRange=335:341
58	que	que	CCONJ	CONJ	_	60	mark	_	TokenRange=342:345
59	morto	_	NOUN	NOUN	_	60	nsubj	_	TokenRange=346:351
60	gostaria	gostar	VERB	VERB	_	57	ccomp	_	TokenRange=352:360
61	de	_	ADP	ADP	_	62	mark	_	TokenRange=361:363
62	erguerse	erguerse	VERB	VERB	_	60	nmod	_	TokenRange=364:372
63	a	_	ADP	ADP	_	66	case	_	TokenRange=373:374
64	cada	_	DET	DET	_	66	det	_	TokenRange=375:379
65	dez	_	NUM	NUM	NumType=Card	66	nummod	_	TokenRange=380:383
66	anos	ano	NOUN	NOUN	_	62	nmod	_	TokenRange=384:388
67-68	na	_	_	_	_	_	_	_	TokenRange=389:391
67	em	em	ADP	ADP	_	69	case	_	_
68	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	69	det	_	_
69	tumba	tumba	NOUN	NOUN	_	62	nmod	_	TokenRange=392:397
70	e	e	CCONJ	CONJ	_	71	cc	_	TokenRange=398:399
71	caminhar	caminhar	VERB	VERB	_	62	conj	_	TokenRange=400:408
72	ate	_	ADP	ADP	_	74	case	_	TokenRange=409:412
73	a	o	DET	DET	_	74	det	_	TokenRange=413:414
74	banca	banca	NOUN	NOUN	_	71	nmod	_	TokenRange=415:420
75	para	_	ADP	ADP	_	76	mark	_	TokenRange=421:425
76	comprar	comprar	VERB	VERB	_	71	advcl	_	TokenRange=426:433
77	jornais	jornal	NOUN	NOUN	_	76	obj	_	TokenRange=434:441
78	nao	nao	ADV	ADV	Polarity=Neg	79	advmod	_	TokenRange=442:445
79	pediria	pedir	VERB	VERB	_	51	conj	_	TokenRange=446:453
80	mais	_	DET	DET	_	81	det	_	TokenRange=454:458
81	nada	_	PRON	PRON	_	79	obj	_	TokenRange=459:463
82	com	com	ADP	ADP	_	84	case	_	TokenRange=464:467
83	os	o	DET	DET	_	84	det	_	TokenRange=468:470
84	jornais	jornal	NOUN	NOUN	_	79	nmod	_	TokenRange=471:478
85	debaixo	debaixo	ADV	ADV	_	84	advmod	_	TokenRange=479:486
86-87	do	_	_	_	_	_	_	_	TokenRange=487:489
86	de	de	ADP	ADP	_	88	case	_	_
87	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	88	det	_	_
88	braco	braco	NOUN	NOUN	_	85	nmod	_	TokenRange=490:495
89	livido	livido	ADJ	ADJ	_	88	amod	_	TokenRange=496:502
90	esbarrando	esbarrar	VERB	VERB	_	88	acl	_	TokenRange=503:513
91-92	nos	_	_	_	_	_	_	_	TokenRange=514:517
91	em	em	ADP	ADP	_	93	case	_	_
92	os	o	DET	DET	Definite=Def|Gender=Masc|Number=Plur|PronType=Art	93	det	_	_
93	muros	muro	NOUN	NOUN	_	90	nmod	_	TokenRange=518:523
94	retornaria	retornar	VERB	VERB	_	79	parataxis	_	TokenRange=524:534
95-96	ao	_	_	_	_	_	_	_	TokenRange=535:537
95	a	a	ADP	ADP	_	97	case	_	_
96	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	97	det	_	_
97	cemiterio	cemiterio	NOUN	NOUN	_	94	nmod	_	TokenRange=538:547
98	e	e	CCONJ	CONJ	_	99	cc	_	TokenRange=548:549
99	leria	ler	VERB	VERB	_	79	conj	_	TokenRange=550:555
100	os	o	DET	DET	_	101	det	_	TokenRange=556:558
101	desastres	desastre	NOUN	NOUN	_	99	obj	_	TokenRange=559:568
102-103	do	_	_	_	_	_	_	_	TokenRange=569:571
102	de	de	ADP	ADP	_	104	case	_	_
103	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	104	det	_	_
104	mundo	mundo	NOUN	NOUN	_	101	nmod	_	TokenRange=572:577
105	antes	antes	ADV	ADV	_	107	mark	_	TokenRange=578:583
106	de	_	ADP	ADP	_	105	fixed	_	TokenRange=584:586
107	tornar	tornar	VERB	VERB	_	99	advcl	_	SpacesAfter=\s\s|TokenRange=587:593

