1 sete sete 2 NUM nummod
2 perguntas pergunta 10 NOUN nsubj
3 sobre sobre 4 ADP case
4 crise crise 2 NOUN nmod
5 coreia coreia 4 NOUN appos
6 norte norte 7 ADJ amod
7 possibilidades possibilidade 2 NOUN appos
8 guerra guerra 7 NOUN amod
9 trump trump 7 ADJ amod
10 diz dizer 0 VERB root
11 grande grande 12 ADJ amod
12 confronto confronto 10 NOUN obj
13 possivel possivel 12 ADJ amod
14 enquanto enquanto 16 CCONJ mark
15 china china 16 NOUN nsubj
16 pede pedir 10 VERB advcl
17 diplomacia diplomacia 16 NOUN obj
18 regime regime 16 NOUN obj
19 kim kim 21 NOUN nsubj
20 jongun jongun 19 NOUN flat
21 ameaca ameacar 10 VERB parataxis
22 afundar afundar 21 VERB xcomp
23 navio navio 22 NOUN obj
24 americano americano 23 ADJ amod
25 japao japao 26 NOUN nsubj
26 mobilizou mobilizar 10 VERB parataxis
27 maior maior 28 ADJ amod
28 navio navio 26 NOUN obj
29 guerra guerra 28 NOUN flat
30 primeira primeiro 31 ADJ amod
31 operacao operacao 26 NOUN nsubj
32 tipo tipo 31 NOUN flat
33 desde desde 34 ADP case
34 pais pais 35 NOUN nmod
35 aprovou aprovar 10 VERB parataxis
36 polemica polemico 37 ADJ amod
37 legislacao legislacao 35 NOUN obj
38 ampliando ampliar 35 VERB acl
39 papel papel 38 NOUN obj
40 forca forca 39 NOUN appos
41 militar militar 40 ADJ amod
42 momento momento 116 NOUN nsubj
43 regiao regiao 42 NOUN appos
44 passa passar 10 VERB parataxis
45 escalada escalada 44 NOUN obj
46 tensa tenso 47 ADJ amod
47 relacao relacao 44 NOUN nsubj
48 estados estado 47 NOUN appos
49 unidos unido 48 ADJ amod
50 coreia coreia 47 NOUN appos
51 norte norte 50 ADJ amod
52 portahelicopteros portahelicopteros 50 NOUN appos
53 izumo izumo 52 NOUN appos
54 escoltando escoltar 48 VERB acl
55 navio navio 54 NOUN obj
56 americano americano 55 ADJ amod
57 abastecimento abastecimento 23 NOUN appos
58 cruza cruzar 10 VERB parataxis
59 aguas aguas 58 NOUN obj
60 japonesas japonês 59 ADJ amod
61 rumo rumo 62 ADP case
62 frota frota 58 NOUN nmod
63 naval naval 62 ADJ amod
64 eua eua 65 DET det
65 regiao regiao 141 NOUN nsubj
66 onde onde 70 ADV advmod
67 portaavioes portaavioe 125 NOUN nsubj
68 carl carl 65 NOUN appos
69 vinson vinson 68 NOUN flat
70 enviado enviar 65 VERB acl
71 presidente presidente 70 NOUN nsubj
72 donald donald 71 NOUN appos
73 trump trump 72 NOUN flat
74 fim fim 151 NOUN amod
75 semana semana 151 NOUN appos
76 trump trump 77 NOUN nsubj
77 disse dizer 10 VERB parataxis
78 gostaria gostar 77 VERB ccomp
79 resolver resolver 78 VERB xcomp
80 crise crise 79 NOUN obj
81 diplomaticamente diplomaticamente 82 ADV advmod
82 reconheceu reconhecer 133 VERB acl:relcl
83 conflito conflito 82 NOUN obj
84 grande grande 85 ADJ amod
85 possibilidade possibilidade 158 NOUN appos
86 grande grande 85 ADJ amod
87 preocupacao preocupacao 158 NOUN appos
88 eua eua 89 DET det
89 paises paise 82 NOUN nsubj
90 vizinhos vizinho 89 ADJ amod
91 coreia coreia 89 NOUN appos
92 norte norte 89 ADJ amod
93 coreia coreia 89 NOUN appos
94 sul sul 93 ADJ amod
95 japao japao 96 ADJ amod
96 poderio poderio 163 NOUN appos
97 nuclear nuclear 96 ADJ amod
98 militar militar 96 ADJ amod
99 pais pais 96 NOUN appos
100 comunista comunista 99 ADJ amod
101 apesar apesar 175 ADV mark
102 ameacas ameaco 172 ADJ amod
103 sancoes sancoe 175 NOUN nsubj
104 segue segue 105 AUX aux
105 realizando realizar 10 VERB advcl
106 testes teste 105 NOUN obj
107 misseis missil 106 ADJ amod
108 governo governo 191 NOUN nsubj
109 americano americano 108 ADJ amod
110 diz dizer 10 VERB parataxis
111 endurecera endurecer 110 VERB xcomp
112 sancoes sancoe 111 NOUN obj
113 economicas economico 112 ADJ amod
114 contra contra 115 ADP case
115 pyongyang pyongyang 112 NOUN nmod
116 ativara ativar 38 VERB parataxis
117 sistema sistema 116 NOUN obj
118 defesa defesa 117 NOUN appos
119 antimisseis antimisseis 118 ADJ amod
120 coreia coreia 116 NOUN nsubj
121 sul sul 122 ADJ amod
122 coreia coreia 116 NOUN nsubj
123 norte norte 122 ADJ amod
124 vez vez 125 NOUN nsubj
125 ameacou ameacar 48 VERB acl:relcl
126 afundar afundar 125 VERB xcomp
127 portaavioes portaavioes 126 NOUN obj
128 americano americano 127 ADJ amod
129 deslocado deslocar 127 ADJ amod
130 regiao regiao 191 NOUN nsubj
131 prometeu prometer 10 VERB conj
132 realizar realizar 131 VERB xcomp
133 testes teste 132 NOUN obj
134 misseis missil 133 ADJ amod
135 china chino 133 ADJ amod
136 poucos poucos 137 DET det
137 paises paise 138 NOUN nsubj
138 relacionar relacionar 23 VERB acl:relcl
139 governo governo 138 NOUN obj
140 nortecoreano nortecoreano 139 ADJ amod
141 pediu pedir 58 VERB parataxis
142 negociacao negociacao 141 NOUN obj
143 dialogo dialogo 142 ADJ amod
144 paises paise 142 NOUN appos
145 apos apos 147 ADP case
146 ultimos ultimo 147 ADJ amod
147 desenvolvimentos desenvolvimento 144 NOUN nmod
148 nessa nessa 149 ADP case
149 crise crise 147 NOUN nmod
150 analista analista 151 ADJ amod
151 defesa defesa 156 NOUN nsubj
152 diplomacia diplomacia 151 NOUN appos
153 bbc bbc 151 NOUN appos
154 jonathan jonathan 156 NOUN nsubj
155 marcus marcus 154 PROPN flat
156 responde responder 10 VERB parataxis
157 principais principal 158 ADJ amod
158 duvidas duvida 156 NOUN obj
159 sobre sobre 160 ADP case
160 conflito conflito 158 NOUN nmod
161 apesar apesar 162 ADV mark
162 existirem existir 156 VERB advcl
163 sancoes sancoe 162 NOUN obj
164 contra contra 165 ADP case
165 coreia coreia 163 NOUN nmod
166 norte norte 165 ADJ amod
167 colocadas colocar 165 VERB acl
168 pratica pratica 167 NOUN nsubj
169 monitoradas monitoradas 170 VERB acl
170 forma forma 175 NOUN nsubj
171 devida devido 170 ADJ amod
172 estudo estudo 175 NOUN nsubj
173 recente recente 172 ADJ amod
174 onu onu 172 ADJ amod
175 analisou analisar 156 VERB parataxis
176 fragmentos fragmento 175 NOUN obj
177 teste teste 176 NOUN appos
178 missil missil 176 NOUN flat
179 nortecoreano nortecoreano 178 ADJ amod
180 mostrou mostrar 175 VERB ccomp
181 componentes componente 180 NOUN obj
182 eletronicos eletronico 181 ADJ amod
183 vinham vir 180 VERB ccomp
184 empresas empresa 191 NOUN obj
185 chinesas chinês 184 ADJ amod
186 conseguidos conseguir 184 VERB acl
187 atraves atrave 186 ADV advmod
188 china chino 187 ADJ amod
189 china chino 191 NOUN nsubj
190 poderia poder 191 AUX aux
191 fazer fazer 180 VERB parataxis
