# generator = UDPipe 2, https://lindat.mff.cuni.cz/services/udpipe
# udpipe_model = portuguese-gsd-ud-2.10-220711
# udpipe_model_licence = CC BY-NC-SA
# newdoc
# newpar
# sent_id = 1
# text = houve ontem uma reuniao pp pt e pmdb onde ficou combinado que o dep vacari vai falar com o presidente gabrielli sobre o assunto da securitizacao ontem o dep vacareza ficou de reunirse com o presidente lula para conversar sobre o mesmo tema e dizer que os 3 partidos estao de acordo com a operacao o registro acima e de um relatorio dos lobistas jorge luz e bruno luz pai e filho presos desde fevereiro pela lava jato com o entao diretor de abastecimento da petrobras paulo roberto costa sobre um negocio de securitizacao do petroleo vinculado a multinacional trafigura group o negocio estava no portfolio de interesses do grupo criminoso que formatou a brasil trade uma firma usada pelos lobistas em parceria com o advogado tiago cedraz filho do ministro do tribunal de contas da uniao tcu aroldo cedraz executivos da petrobras e operadores de propinas que beneficiaria politicos em especial do pt e do pmdb entre eles o exlider do governo e do pt na camara candido vaccarezza e o exministro de minas e energia edison lobao uma parceria que garantiu em 2010 contratos de quase us 1 bilhao a norteamericana sargeant marine uma
1	houve	haver	VERB	VERB	_	0	root	_	TokenRange=0:5
2	ontem	ontem	ADV	ADV	_	1	advmod	_	TokenRange=6:11
3	uma	um	DET	DET	_	4	det	_	TokenRange=12:15
4	reuniao	reuniao	NOUN	NOUN	_	1	obj	_	TokenRange=16:23
5	pp	pp	ADP	ADP	_	6	case	_	TokenRange=24:26
6	pt	pt	NOUN	NOUN	_	4	nmod	_	TokenRange=27:29
7	e	e	CCONJ	CONJ	_	8	cc	_	TokenRange=30:31
8	pmdb	pmdb	NOUN	NOUN	_	6	conj	_	TokenRange=32:36
9	onde	onde	ADV	ADV	_	11	advmod	_	TokenRange=37:41
10	ficou	ficar	AUX	AUX	_	11	aux	_	TokenRange=42:47
11	combinado	combinado	ADJ	ADJ	_	4	acl:relcl	_	TokenRange=48:57
12	que	que	CCONJ	CONJ	_	17	mark	_	TokenRange=58:61
13	o	o	DET	DET	_	14	det	_	TokenRange=62:63
14	dep	dep	NOUN	NOUN	_	17	nsubj	_	TokenRange=64:67
15	vacari	vacar	NOUN	NOUN	_	14	flat	_	TokenRange=68:74
16	vai	ir	AUX	AUX	_	17	aux	_	TokenRange=75:78
17	falar	falar	VERB	VERB	_	11	csubj	_	TokenRange=79:84
18	com	com	ADP	ADP	_	20	case	_	TokenRange=85:88
19	o	o	DET	DET	_	20	det	_	TokenRange=89:90
20	presidente	presidente	NOUN	NOUN	_	17	nmod	_	TokenRange=91:101
21	gabrielli	_	ADJ	ADJ	_	20	amod	_	TokenRange=102:111
22	sobre	_	ADP	ADP	_	24	case	_	TokenRange=112:117
23	o	o	DET	DET	_	24	det	_	TokenRange=118:119
24	assunto	assunto	NOUN	NOUN	_	17	nmod	_	TokenRange=120:127
25-26	da	_	_	_	_	_	_	_	TokenRange=128:130
25	de	de	ADP	ADP	_	27	case	_	_
26	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	27	det	_	_
27	securitizacao	securitizacao	NOUN	NOUN	_	24	nmod	_	TokenRange=131:144
28	ontem	ontem	ADV	ADV	_	34	advmod	_	TokenRange=145:150
29	o	o	DET	DET	_	30	det	_	TokenRange=151:152
30	dep	dep	NOUN	NOUN	_	34	nsubj	_	TokenRange=153:156
31	vacareza	vacareza	NOUN	NOUN	_	30	flat	_	TokenRange=157:165
32	ficou	ficar	AUX	AUX	_	34	aux	_	TokenRange=166:171
33	de	_	ADP	ADP	_	34	mark	_	TokenRange=172:174
34	reunirse	reunirse	VERB	VERB	_	1	parataxis	_	TokenRange=175:183
35	com	com	ADP	ADP	_	37	case	_	TokenRange=184:187
36	o	o	DET	DET	_	37	det	_	TokenRange=188:189
37	presidente	presidente	NOUN	NOUN	_	34	nmod	_	TokenRange=190:200
38	lula	lula	ADJ	ADJ	_	37	amod	_	TokenRange=201:205
39	para	_	ADP	ADP	_	40	mark	_	TokenRange=206:210
40	conversar	conversar	VERB	VERB	_	34	advcl	_	TokenRange=211:220
41	sobre	_	ADP	ADP	_	44	case	_	TokenRange=221:226
42	o	o	DET	DET	_	44	det	_	TokenRange=227:228
43	mesmo	mesmo	ADJ	ADJ	_	44	amod	_	TokenRange=229:234
44	tema	tema	NOUN	NOUN	_	40	nmod	_	TokenRange=235:239
45	e	e	CCONJ	CONJ	_	46	cc	_	TokenRange=240:241
