1 melhor melhor 2 ADV advmod
2 morrido morrer 8 VERB acl
3 ano ano 8 NOUN nmod
4 apos apos 5 ADP case
5 atentado atentado 8 NOUN nmod
6 bruxelas bruxela 5 ADJ amod
7 testemunhas testemunha 8 NOUN nsubj
8 revelam revelar 0 VERB root
9 feridas ferida 8 NOUN obj
10 invisiveis invisivel 9 ADJ amod
11 casos caso 8 NOUN nsubj
12 menina menino 13 ADJ amod
13 pensamentos pensamento 11 NOUN appos
14 suicidas suicida 13 ADJ amod
15 condutor condutor 16 NOUN nsubj
16 consegue conseguir 13 VERB acl:relcl
17 trabalhar trabalhar 16 VERB xcomp
18 apos apos 19 ADP mark
19 perder perder 17 VERB advcl
20 mulher mulher 19 NOUN obj
21 metro metro 19 NOUN nsubj
22 ilustram ilustrar 8 VERB parataxis
23 traumas trauma 22 NOUN obj
24 deixados deixar 23 VERB acl
25 explosoes explosoe 23 ADJ amod
26 aeroporto aeroporto 22 NOUN nsubj
27 estacao estacao 26 NOUN flat
28 mataram matar 23 VERB acl:relcl
29 32 32 30 NUM nummod
30 pessoas pessoa 28 NOUN obj
31 ano ano 28 NOUN nmod
32 triplo triplo 33 ADJ amod
33 atentado atentado 28 NOUN nsubj
34 terrorista terrorista 33 ADJ amod
35 aeroporto aeroporto 33 NOUN appos
36 internacional internacional 33 ADJ amod
37 zaventem zaventem 35 NOUN amod
38 estacao estacao 35 NOUN appos
39 maelbeek maelbeek 38 NOUN appos
40 bruxelas bruxela 38 NOUN flat
41 belgica belgico 40 ADJ amod
42 matou matar 28 VERB conj
43 32 32 44 NUM nummod
44 pessoas pessoa 45 NOUN obj
45 deixou deixar 42 VERB parataxis
46 outras outras 47 DET det
47 324 324 45 NUM obj
