# generator = UDPipe 2, https://lindat.mff.cuni.cz/services/udpipe
# udpipe_model = portuguese-gsd-ud-2.10-220711
# udpipe_model_licence = CC BY-NC-SA
# newdoc
# newpar
# sent_id = 1
# text = na expectativa de 2 denuncia temer antecipa volta ao brasil assessoria nega presidente esta em visita oficial a china e deve chegar no dia 5 brasilia na expectativa de enfrentar uma segunda denuncia nos proximos dias o presidente michel temer decidiu antecipar em um dia a volta ao brasil o retorno de temer estava previsto para quartafeira 6 mas ele agora chegara na terca 5 a justificativa oficial e a de que temer quer estar no pais para acompanhar a votacao da proposta de mudanca das metas fiscais deste ano e de 2018 em conversas reservadas no entanto o presidente tem dito que alem de se defender no campo juridico precisa articular forte reacao politica a provavel denuncia temer esta em visita oficial a china e na semana
1-2	na	_	_	_	_	_	_	_	TokenRange=0:2
1	em	em	ADP	ADP	_	3	case	_	_
2	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	3	det	_	_
3	expectativa	expectativa	NOUN	NOUN	_	8	nmod	_	TokenRange=3:14
4	de	de	ADP	ADP	_	6	case	_	TokenRange=15:17
5	2	_	NUM	NUM	NumType=Card	6	nummod	_	TokenRange=18:19
6	denuncia	_	NOUN	NOUN	_	3	nmod	_	TokenRange=20:28
7	temer	temer	NOUN	NOUN	_	8	nsubj	_	TokenRange=29:34
8	antecipa	antecipar	VERB	VERB	_	0	root	_	TokenRange=35:43
9	volta	volta	NOUN	NOUN	_	8	obj	_	TokenRange=44:49
10-11	ao	_	_	_	_	_	_	_	TokenRange=50:52
10	a	a	ADP	ADP	_	12	case	_	_
11	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	12	det	_	_
12	brasil	brasil	NOUN	NOUN	_	9	nmod	_	TokenRange=53:59
13	assessoria	assessoria	NOUN	NOUN	_	46	nsubj	_	TokenRange=60:70
14	nega	negar	VERB	VERB	_	8	conj	_	TokenRange=71:75
15	presidente	presidente	NOUN	NOUN	_	14	obj	_	TokenRange=76:86
16	esta	_	VERB	VERB	_	8	parataxis	_	TokenRange=87:91
17	em	em	ADP	ADP	_	18	case	_	TokenRange=92:94
18	visita	visita	NOUN	NOUN	_	16	nmod	_	TokenRange=95:101
19	oficial	oficial	ADJ	ADJ	_	18	amod	_	TokenRange=102:109
20	a	_	ADP	ADP	_	21	case	_	TokenRange=110:111
21	china	china	NOUN	NOUN	_	18	nmod	_	TokenRange=112:117
22	e	e	CCONJ	CONJ	_	24	cc	_	TokenRange=118:119
23	deve	dever	AUX	AUX	_	24	aux	_	TokenRange=120:124
24	chegar	chegar	VERB	VERB	_	16	conj	_	TokenRange=125:131
25-26	no	_	_	_	_	_	_	_	TokenRange=132:134
25	em	em	ADP	ADP	_	27	case	_	_
26	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	27	det	_	_
27	dia	dia	NOUN	NOUN	_	24	nmod	_	TokenRange=135:138
28	5	_	NUM	NUM	NumType=Card	27	nmod	_	TokenRange=139:140
29	brasilia	brasilia	NOUN	NOUN	_	24	obj	_	TokenRange=141:149
30-31	na	_	_	_	_	_	_	_	TokenRange=150:152
30	em	em	ADP	ADP	_	32	case	_	_
31	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	32	det	_	_
