# generator = UDPipe 2, https://lindat.mff.cuni.cz/services/udpipe
# udpipe_model = portuguese-gsd-ud-2.10-220711
# udpipe_model_licence = CC BY-NC-SA
# newdoc
# newpar
# sent_id = 1
# text = veja o que o pokemon go causa em um adolescente video ja ultrapassou 3 5 milhoes de views um dos maiores fenomenos de midia dos ultimos tempos esta causando uma especie de alucinacao coletiva o aplicativo pokemon go que ainda nao tem data certa para chegar ao brasil tem deixado muitos brasileiros com crises de ansiedade um desses brasileiros ultrapassou os limites da ansiedade e resolveu mostrar suas lagrimas para o mundo como no video abaixo o adolescente acima e um personagem de uma webserie brasileira chamada anellysando joel vieira interpreta nelly um adolescente excentrico
1	veja	ver	VERB	VERB	_	0	root	_	TokenRange=0:4
2	o	_	PRON	PRON	_	1	obj	_	TokenRange=5:6
3	que	_	PRON	PRON	_	7	obj	_	TokenRange=7:10
4	o	o	DET	DET	_	5	det	_	TokenRange=11:12
5	pokemon	_	NOUN	NOUN	_	7	nsubj	_	TokenRange=13:20
6	go	_	NOUN	NOUN	_	5	flat	_	TokenRange=21:23
7	causa	causar	VERB	VERB	_	2	acl:relcl	_	TokenRange=24:29
8	em	em	ADP	ADP	_	10	case	_	TokenRange=30:32
9	um	um	DET	DET	_	10	det	_	TokenRange=33:35
10	adolescente	adolescente	NOUN	NOUN	_	7	nmod	_	TokenRange=36:47
11	video	video	ADJ	ADJ	_	10	amod	_	TokenRange=48:53
12	ja	ja	ADV	ADV	_	13	advmod	_	TokenRange=54:56
13	ultrapassou	ultrapassar	VERB	VERB	_	1	ccomp	_	TokenRange=57:68
14	3	_	NUM	NUM	NumType=Card	16	nummod	_	TokenRange=69:70
15	5	_	NUM	NUM	NumType=Card	16	nummod	_	TokenRange=71:72
16	milhoes	_	NUM	NUM	NumType=Card	18	nummod	_	TokenRange=73:80
17	de	de	ADP	ADP	_	18	case	_	TokenRange=81:83
18	views	view	NOUN	NOUN	_	13	obj	_	TokenRange=84:89
19	um	_	PRON	PRON	_	13	nsubj	_	TokenRange=90:92
20-21	dos	_	_	_	_	_	_	_	TokenRange=93:96
20	de	de	ADP	ADP	_	23	case	_	_
21	os	o	DET	DET	Definite=Def|Gender=Masc|Number=Plur|PronType=Art	23	det	_	_
22	maiores	maior	ADJ	ADJ	_	23	amod	_	TokenRange=97:104
23	fenomenos	fenomeno	NOUN	NOUN	_	19	nmod	_	TokenRange=105:114
24	de	de	ADP	ADP	_	25	case	_	TokenRange=115:117
25	midia	midia	NOUN	NOUN	_	23	nmod	_	TokenRange=118:123
26-27	dos	_	_	_	_	_	_	_	TokenRange=124:127
26	de	de	ADP	ADP	_	29	case	_	_
27	os	o	DET	DET	Definite=Def|Gender=Masc|Number=Plur|PronType=Art	29	det	_	_
28	ultimos	ultimo	ADJ	ADJ	_	29	amod	_	TokenRange=128:135
29	tempos	tempo	NOUN	NOUN	_	23	nmod	_	TokenRange=136:142
30	esta	_	PRON	PRON	_	31	nsubj	_	TokenRange=143:147
31	causando	causar	VERB	VERB	_	13	parataxis	_	TokenRange=148:156
32	uma	um	DET	DET	_	33	det	_	TokenRange=157:160
33	especie	especie	NOUN	NOUN	_	31	obj	_	TokenRange=161:168
34	de	de	ADP	ADP	_	35	case	_	TokenRange=169:171
35	alucinacao	alucinacao	NOUN	NOUN	_	33	nmod	_	TokenRange=172:182
36	coletiva	coletivo	ADJ	ADJ	_	35	amod	_	TokenRange=183:191
37	o	o	DET	DET	_	38	det	_	TokenRange=192:193
38	aplicativo	aplicativo	NOUN	NOUN	_	31	nsubj	_	TokenRange=194:204
39	pokemon	_	NOUN	NOUN	_	38	appos	_	TokenRange=205:212
40	go	_	X	NOUN	_	39	flat	_	TokenRange=213:215
41	que	_	PRON	PRON	_	44	nsubj	_	TokenRange=216:219
42	ainda	ainda	ADV	ADV	_	44	advmod	_	TokenRange=220:225
43	nao	nao	ADV	ADV	Polarity=Neg	44	advmod	_	TokenRange=226:229
44	tem	ter	VERB	VERB	_	38	acl:relcl	_	TokenRange=230:233
45	data	data	NOUN	NOUN	_	44	obj	_	TokenRange=234:238
46	certa	certo	ADJ	ADJ	_	45	amod	_	TokenRange=239:244
47	para	_	ADP	ADP	_	48	mark	_	TokenRange=245:249
48	chegar	chegar	VERB	VERB	_	44	advcl	_	TokenRange=250:256
49-50	ao	_	_	_	_	_	_	_	TokenRange=257:259
49	a	a	ADP	ADP	_	51	case	_	_
50	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	51	det	_	_
51	brasil	brasil	NOUN	NOUN	_	48	nmod	_	TokenRange=260:266
52	tem	ter	AUX	AUX	_	53	aux	_	TokenRange=267:270
53	deixado	deixar	VERB	VERB	_	1	ccomp	_	TokenRange=271:278
54	muitos	_	DET	DET	_	55	det	_	TokenRange=279:285
55	brasileiros	brasileiro	NOUN	NOUN	_	53	obj	_	TokenRange=286:297
56	com	com	ADP	ADP	_	57	case	_	TokenRange=298:301
57	crises	crise	NOUN	NOUN	_	53	nmod	_	TokenRange=302:308
58	de	de	ADP	ADP	_	59	case	_	TokenRange=309:311
59	ansiedade	ansiedade	NOUN	NOUN	_	57	nmod	_	TokenRange=312:321
60	um	_	PRON	PRON	_	63	nsubj	_	TokenRange=322:324
61	desses	_	ADP	ADP	_	62	case	_	TokenRange=325:331
62	brasileiros	brasileiro	NOUN	NOUN	_	60	nmod	_	TokenRange=332:343
63	ultrapassou	ultrapassar	VERB	VERB	_	53	parataxis	_	TokenRange=344:355
64	os	o	DET	DET	_	65	det	_	TokenRange=356:358
65	limites	limite	NOUN	NOUN	_	63	obj	_	TokenRange=359:366
66-67	da	_	_	_	_	_	_	_	TokenRange=367:369
66	de	de	ADP	ADP	_	68	case	_	_
67	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	68	det	_	_
68	ansiedade	ansiedade	NOUN	NOUN	_	65	nmod	_	TokenRange=370:379
69	e	e	CCONJ	CONJ	_	70	cc	_	TokenRange=380:381
70	resolveu	resolver	VERB	VERB	_	63	conj	_	TokenRange=382:390
71	mostrar	mostrar	VERB	VERB	_	70	xcomp	_	TokenRange=391:398
72	suas	_	DET	DET	_	73	det:poss	_	TokenRange=399:403
73	lagrimas	_	NOUN	NOUN	_	71	obj	_	TokenRange=404:412
74	para	para	ADP	ADP	_	76	case	_	TokenRange=413:417
75	o	o	DET	DET	_	76	det	_	TokenRange=418:419
76	mundo	mundo	NOUN	NOUN	_	71	nmod	_	TokenRange=420:425
77	como	_	ADP	ADP	_	71	nmod	_	TokenRange=426:430
78-79	no	_	_	_	_	_	_	_	TokenRange=431:433
78	em	em	ADP	ADP	_	80	case	_	_
79	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	80	det	_	_
80	video	video	NOUN	NOUN	_	77	nmod	_	TokenRange=434:439
81	abaixo	abaixo	ADV	ADV	_	80	advmod	_	TokenRange=440:446
82	o	o	DET	DET	_	83	det	_	TokenRange=447:448
83	adolescente	adolescente	NOUN	NOUN	_	71	nsubj	_	TokenRange=449:460
84	acima	acima	ADV	ADV	_	83	advmod	_	TokenRange=461:466
85	e	e	CCONJ	CONJ	_	87	cc	_	TokenRange=467:468
86	um	um	DET	DET	_	87	det	_	TokenRange=469:471
87	personagem	personagem	NOUN	NOUN	_	83	conj	_	TokenRange=472:482
88	de	de	ADP	ADP	_	90	case	_	TokenRange=483:485
89	uma	um	DET	DET	_	90	det	_	TokenRange=486:489
90	webserie	webserie	NOUN	NOUN	_	87	nmod	_	TokenRange=490:498
91	brasileira	brasileiro	ADJ	ADJ	_	90	amod	_	TokenRange=499:509
92	chamada	chamar	AUX	AUX	_	93	cop	_	TokenRange=510:517
93	anellysando	anellysar	VERB	VERB	_	90	acl	_	TokenRange=518:529
94	joel	_	PROPN	PNOUN	_	93	nsubj	_	TokenRange=530:534
95	vieira	_	PROPN	PNOUN	_	94	flat	_	TokenRange=535:541
96	interpreta	interpretar	VERB	VERB	_	87	acl:relcl	_	TokenRange=542:552
97	nelly	_	NOUN	NOUN	_	96	obj	_	TokenRange=553:558
98	um	um	DET	DET	_	99	det	_	TokenRange=559:561
99	adolescente	adolescente	NOUN	NOUN	_	96	obj	_	TokenRange=562:573
100	excentrico	excentrico	ADJ	ADJ	_	99	amod	_	SpacesAfter=\s\s|TokenRange=574:584

