# generator = UDPipe 2, https://lindat.mff.cuni.cz/services/udpipe
# udpipe_model = portuguese-gsd-ud-2.10-220711
# udpipe_model_licence = CC BY-NC-SA
# newdoc
# newpar
# sent_id = 1
# text = veja os votos dos ministros do tse no julgamento da chapa dilmatemer corte absolveu a chapa formada por dilma e temer por abuso de poder politico e economico na eleicao de 2014 por quatro votos a tres o tribunal superior eleitoral tse decidiu nesta sextafeira 9 pela absolvicao da chapa dilma rousseffmichel temer que foi acusada pelo psdb de ter cometido abuso de poder politico e economico na campanha de 2014 infografico relembre todas as etapas do processo repercussao juristas comentam a decisao do tse a votacao chegou a ficar empatada com o voto da ministra rosa weber e coube ao ministro gilmar mendes presidente do tse dar o voto de minerva ele decidiu entao inocentar a chapa argumentando que o caso e peculiar e que nao se substitui um presidente da republica a toda hora ainda que se queira a cassacao de mandatos deveria ocorrer em situacoes inequivocas afirmou o ministro criticou a tentativa de uso do tribunal para resolver uma crise politica nao e por acaso que a constituicao estabelece exigencias do contrario banalizaria o mandato saiba o que disseram os ministros preliminares o relator defendeu manter no processo relatos de executivos da odebrecht de que a campanha de 2014 foi abastecida com dinheiro nao declarado caixa 2 repassado como propina por contratos fechados pela empreiteira com a petrobras benjamin negou que tenha havido uma
1	veja	ver	VERB	VERB	_	0	root	_	TokenRange=0:4
2	os	o	DET	DET	_	3	det	_	TokenRange=5:7
3	votos	voto	NOUN	NOUN	_	1	obj	_	TokenRange=8:13
4-5	dos	_	_	_	_	_	_	_	TokenRange=14:17
4	de	de	ADP	ADP	_	6	case	_	_
5	os	o	DET	DET	Definite=Def|Gender=Masc|Number=Plur|PronType=Art	6	det	_	_
6	ministros	ministro	NOUN	NOUN	_	3	nmod	_	TokenRange=18:27
7-8	do	_	_	_	_	_	_	_	TokenRange=28:30
7	de	de	ADP	ADP	_	9	case	_	_
8	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	9	det	_	_
9	tse	tse	NOUN	NOUN	_	6	nmod	_	TokenRange=31:34
10-11	no	_	_	_	_	_	_	_	TokenRange=35:37
10	em	em	ADP	ADP	_	12	case	_	_
11	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	12	det	_	_
12	julgamento	julgamento	NOUN	NOUN	_	1	nmod	_	TokenRange=38:48
13-14	da	_	_	_	_	_	_	_	TokenRange=49:51
13	de	de	ADP	ADP	_	15	case	_	_
14	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	15	det	_	_
15	chapa	chapa	NOUN	NOUN	_	12	nmod	_	TokenRange=52:57
16	dilmatemer	dilmatemer	ADJ	ADJ	_	15	amod	_	TokenRange=58:68
17	corte	corte	NOUN	NOUN	_	18	nsubj	_	TokenRange=69:74
18	absolveu	absolver	VERB	VERB	_	1	ccomp	_	TokenRange=75:83
19	a	o	DET	DET	_	20	det	_	TokenRange=84:85
20	chapa	chapa	NOUN	NOUN	_	18	obj	_	TokenRange=86:91
21	formada	formar	VERB	VERB	_	20	acl	_	TokenRange=92:99
22	por	por	ADP	ADP	_	23	case	_	TokenRange=100:103
23	dilma	dilma	NOUN	NOUN	_	21	nmod	_	TokenRange=104:109
24	e	e	CCONJ	CONJ	_	25	cc	_	TokenRange=110:111
25	temer	temer	NOUN	NOUN	_	23	conj	_	TokenRange=112:117
26	por	por	ADP	ADP	_	27	case	_	TokenRange=118:121
27	abuso	abuso	NOUN	NOUN	_	21	nmod	_	TokenRange=122:127
28	de	de	ADP	ADP	_	29	case	_	TokenRange=128:130
29	poder	poder	NOUN	NOUN	_	27	nmod	_	TokenRange=131:136
30	politico	politico	ADJ	ADJ	_	29	amod	_	TokenRange=137:145
31	e	e	CCONJ	CONJ	_	32	cc	_	TokenRange=146:147
32	economico	economico	ADJ	ADJ	_	30	conj	_	TokenRange=148:157
33-34	na	_	_	_	_	_	_	_	TokenRange=158:160
33	em	em	ADP	ADP	_	35	case	_	_
34	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	35	det	_	_
35	eleicao	eleicao	NOUN	NOUN	_	21	nmod	_	TokenRange=161:168
36	de	de	ADP	ADP	_	37	case	_	TokenRange=169:171
37	2014	_	NUM	NUM	NumType=Card	35	nmod	_	TokenRange=172:176
38	por	por	ADP	ADP	_	40	case	_	TokenRange=177:180
39	quatro	_	NUM	NUM	NumType=Card	40	nummod	_	TokenRange=181:187
40	votos	voto	NOUN	NOUN	_	48	nmod	_	TokenRange=188:193
41	a	_	ADP	ADP	_	42	case	_	TokenRange=194:195
42	tres	_	NUM	NUM	NumType=Card	40	nmod	_	TokenRange=196:200
43	o	o	DET	DET	_	44	det	_	TokenRange=201:202
44	tribunal	tribunal	NOUN	NOUN	_	48	nsubj	_	TokenRange=203:211
45	superior	superior	ADJ	ADJ	_	44	amod	_	TokenRange=212:220
46	eleitoral	eleitoral	ADJ	ADJ	_	44	amod	_	TokenRange=221:230
47	tse	_	NOUN	NOUN	_	44	appos	_	TokenRange=231:234
48	decidiu	decidir	VERB	VERB	_	1	parataxis	_	TokenRange=235:242
49	nesta	_	ADP	ADP	_	50	case	_	TokenRange=243:248
50	sextafeira	_	NOUN	NOUN	_	48	nmod	_	TokenRange=249:259
51	9	_	NUM	NUM	NumType=Card	50	nmod	_	TokenRange=260:261
52-53	pela	_	_	_	_	_	_	_	TokenRange=262:266
52	por	por	ADP	ADP	_	54	case	_	_
53	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	54	det	_	_
54	absolvicao	absolvicao	NOUN	NOUN	_	48	nmod	_	TokenRange=267:277
55-56	da	_	_	_	_	_	_	_	TokenRange=278:280
55	de	de	ADP	ADP	_	57	case	_	_
56	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	57	det	_	_
57	chapa	chapa	NOUN	NOUN	_	54	nmod	_	TokenRange=281:286
58	dilma	dilma	NOUN	NOUN	_	57	appos	_	TokenRange=287:292
59	rousseffmichel	_	ADJ	ADJ	_	58	flat	_	TokenRange=293:307
60	temer	temer	NOUN	NOUN	_	58	appos	_	TokenRange=308:313
61	que	_	PRON	PRON	_	63	nsubj:pass	_	TokenRange=314:317
62	foi	_	AUX	AUX	_	63	aux:pass	_	TokenRange=318:321
