1 lava lava 4 NOUN parataxis
2 jato jato 1 NOUN flat
3 justica justica 1 NOUN nsubj
4 marca marcar 0 VERB root
5 datas data 4 NOUN obj
6 de de 7 ADP case
7 leilao leilao 5 NOUN nmod
8 publico publico 7 ADJ amod
9 de de 10 ADP case
10 triplex triplex 7 NOUN nmod
11 atribuido atribuir 7 VERB acl
12 a a 13 ADP case
13 lula lula 11 NOUN nmod
14 para para 15 ADP case
15 maio maio 11 PROPN nmod
16 a o 18 DET det
17 primeira primeiro 18 ADJ amod
18 data data 36 NOUN nsubj:pass
19 para para 20 ADP case
20 venda venda 18 NOUN nmod
21 sera sera 23 AUX cop
22 o o 23 DET det
23 dia dia 4 NOUN parataxis
24 15 15 23 NUM nmod
25 de de 26 ADP case
26 maio maio 24 PROPN nmod
27 e e 29 CCONJ cc
28 a o 29 DET det
29 segunda segunda 23 NOUN conj
30 em em 31 ADP case
31 22 22 29 NUM nmod
32 de de 33 ADP case
33 maio maio 31 PROPN nmod
34 expresidente expresidente 36 NOUN nsubj:pass
35 foi foi 36 AUX aux:pass
36 condenado condenar 4 VERB conj
37 em em 39 ADP case
38 duas duas 39 NUM nummod
39 instancias instancia 36 NOUN nmod
40 em em 42 ADP case
41 o o 42 DET det
42 processo processo 36 NOUN nmod
43 que que 44 PRON nsubj
44 envolve envolver 42 VERB acl:relcl
45 o o 46 DET det
46 apartamento apartamento 44 NOUN obj
47 a o 48 DET det
48 justica justica 50 NOUN nsubj
49 federal federal 48 ADJ amod
50 marcou marcar 136 VERB ccomp
51 as o 52 DET det
52 datas data 50 NOUN obj
53 de de 55 ADP case
54 a o 55 DET det
55 venda venda 52 NOUN nmod
56 em em 57 ADP case
57 leilao leilao 52 NOUN nmod
58 publico publico 57 ADJ amod
59 de de 61 ADP case
60 o o 61 DET det
61 triplex triplex 57 NOUN nmod
62 em em 63 ADP case
63 guaruja guaruja 57 NOUN nmod
64 em em 66 ADP case
65 o o 66 DET det
66 litoral litoral 57 NOUN nmod
67 paulista paulista 66 ADJ amod
68 atribuido atribuir 52 VERB acl
69 por por 71 ADP case
70 o o 71 DET det
71 ministerio ministerio 68 NOUN nmod
72 publico publico 71 ADJ amod
73 federal federal 71 ADJ amod
74 mpf mpf 71 NOUN appos
75 a a 77 ADP case
76 o o 77 DET det
77 expresidente expresidente 68 NOUN iobj
78 luiz luiz 77 NOUN appos
79 inacio inacio 78 NOUN flat
80 lula lula 78 PROPN flat
81 de de 83 ADP case
