# generator = UDPipe 2, https://lindat.mff.cuni.cz/services/udpipe
# udpipe_model = portuguese-gsd-ud-2.10-220711
# udpipe_model_licence = CC BY-NC-SA
# newdoc
# newpar
# sent_id = 1
# text = cao acha drogas dentro fogao durante megaoperacao contra trafico sp apreensao aconteceu durante operacao praia limpa nesta quartafeira 7 caminho capela santos litoral paulista equipes rota canil policia militar atuaram operacao praia limpa deflagrada madrugada desta quartafeira 7 baixada santista encontraram drogas escondidas dentro forno fogao
1	cao	_	PRON	PRON	_	2	nsubj	_	TokenRange=0:3
2	acha	achar	VERB	VERB	_	0	root	_	TokenRange=4:8
3	drogas	droga	NOUN	NOUN	_	2	obj	_	TokenRange=9:15
4	dentro	dentro	ADV	ADV	_	2	advmod	_	TokenRange=16:22
5	fogao	fogao	NOUN	NOUN	_	3	appos	_	TokenRange=23:28
6	durante	_	ADP	ADP	_	7	case	_	TokenRange=29:36
7	megaoperacao	megaoperacao	NOUN	NOUN	_	2	nmod	_	TokenRange=37:49
8	contra	_	ADP	ADP	_	9	case	_	TokenRange=50:56
9	trafico	trafico	NOUN	NOUN	_	7	nmod	_	TokenRange=57:64
10	sp	_	ADJ	ADJ	_	9	amod	_	TokenRange=65:67
11	apreensao	apreensao	NOUN	NOUN	_	12	nsubj	_	TokenRange=68:77
12	aconteceu	acontecer	VERB	VERB	_	2	parataxis	_	TokenRange=78:87
13	durante	_	ADP	ADP	_	14	case	_	TokenRange=88:95
14	operacao	operacao	NOUN	NOUN	_	12	nmod	_	TokenRange=96:104
15	praia	praia	NOUN	NOUN	_	14	appos	_	TokenRange=105:110
16	limpa	limpo	ADJ	ADJ	_	15	amod	_	TokenRange=111:116
17	nesta	_	ADP	ADP	_	18	case	_	TokenRange=117:122
18	quartafeira	quartafeira	NOUN	NOUN	_	12	nmod	_	TokenRange=123:134
19	7	_	NUM	NUM	NumType=Card	20	nummod	_	TokenRange=135:136
20	caminho	caminho	NOUN	NOUN	_	18	appos	_	TokenRange=137:144
21	capela	capela	NOUN	NOUN	_	20	appos	_	TokenRange=145:151
22	santos	santo	ADJ	NOUN	_	20	amod	_	TokenRange=152:158
23	litoral	litoral	NOUN	NOUN	_	20	appos	_	TokenRange=159:166
24	paulista	paulista	ADJ	ADJ	_	23	amod	_	TokenRange=167:175
25	equipes	equipe	NOUN	NOUN	_	12	nsubj	_	TokenRange=176:183
26	rota	rota	NOUN	NOUN	_	25	appos	_	TokenRange=184:188
27	canil	_	NOUN	NOUN	_	26	flat	_	TokenRange=189:194
28	policia	policia	NOUN	NOUN	_	26	appos	_	TokenRange=195:202
29	militar	militar	ADJ	ADJ	_	28	amod	_	TokenRange=203:210
30	atuaram	atuar	VERB	VERB	_	2	conj	_	TokenRange=211:218
31	operacao	operacao	NOUN	NOUN	_	32	amod	_	TokenRange=219:227
32	praia	praia	NOUN	NOUN	_	30	obj	_	TokenRange=228:233
33	limpa	limpo	ADJ	ADJ	_	32	amod	_	TokenRange=234:239
34	deflagrada	deflagrado	ADJ	ADJ	_	35	amod	_	TokenRange=240:250
35	madrugada	madrugada	NOUN	NOUN	_	41	nsubj	_	TokenRange=251:260
36	desta	_	ADP	ADP	_	37	case	_	TokenRange=261:266
37	quartafeira	quartafeira	NOUN	NOUN	_	35	nmod	_	TokenRange=267:278
38	7	_	NUM	NUM	NumType=Card	37	appos	_	TokenRange=279:280
39	baixada	baixada	NOUN	NOUN	_	37	appos	_	TokenRange=281:288
40	santista	santista	ADJ	ADJ	_	39	amod	_	TokenRange=289:297
41	encontraram	encontrar	VERB	VERB	_	2	parataxis	_	TokenRange=298:309
42	drogas	droga	NOUN	NOUN	_	41	obj	_	TokenRange=310:316
43	escondidas	escondido	ADJ	ADJ	_	42	amod	_	TokenRange=317:327
44	dentro	dentro	ADV	ADV	_	41	advmod	_	TokenRange=328:334
45	forno	forno	NOUN	NOUN	_	43	nmod	_	TokenRange=335:340
46	fogao	fogao	NOUN	NOUN	_	45	flat	_	SpaceAfter=No|TokenRange=341:346

