# generator = UDPipe 2, https://lindat.mff.cuni.cz/services/udpipe
# udpipe_model = portuguese-gsd-ud-2.10-220711
# udpipe_model_licence = CC BY-NC-SA
# newdoc
# newpar
# sent_id = 1
# text = na surdina renan pode estar articulando mudancas na lei de delacao premiada ha cerca de 1 mes a folha/sp divulgou uma conversa gravada entre o expresidente da transpetro sergio machado renan calheiros ambos dialogavam sobre uma possivel mudanca na lei da delacao premiada preso nao pode fazer delacao premiada disse renan no audio porque renan quer mudar a lei de delacao premiada receio de que ele e a elite do pmdb possam ser desmascarados a qualquer momento o senador tambem sugeriu negociar com membros da suprema corte stf a transicao de dilma rousseff a folha nao informou a data que a conversa foi gravada porem sergio machado disse que comecou a fazer as gravacoes a partir em marco/2016 renan se defendeu atraves de nota dizendo que dialogos nao revelam nao indicam nem sugerem qualquer mencao ou tentativa de interferir na lava jato ou solucoes anomalas e nao seria o caso porque nada vai interferir nas investigacoes
1-2	na	_	_	_	_	_	_	_	TokenRange=0:2
1	em	em	ADP	ADP	_	3	case	_	_
2	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	3	det	_	_
3	surdina	_	NOUN	NOUN	_	7	nmod	_	TokenRange=3:10
4	renan	_	NOUN	NOUN	_	7	nsubj	_	TokenRange=11:16
5	pode	_	AUX	AUX	_	7	aux	_	TokenRange=17:21
6	estar	estar	AUX	AUX	_	7	aux	_	TokenRange=22:27
7	articulando	articular	VERB	VERB	_	0	root	_	TokenRange=28:39
8	mudancas	mudanca	NOUN	NOUN	_	7	obj	_	TokenRange=40:48
9-10	na	_	_	_	_	_	_	_	TokenRange=49:51
9	em	em	ADP	ADP	_	11	case	_	_
10	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	11	det	_	_
11	lei	lei	NOUN	NOUN	_	8	nmod	_	TokenRange=52:55
12	de	de	ADP	ADP	_	13	case	_	TokenRange=56:58
13	delacao	delacao	NOUN	NOUN	_	11	nmod	_	TokenRange=59:66
14	premiada	premiado	ADJ	ADJ	_	13	amod	_	TokenRange=67:75
15	ha	_	VERB	VERB	_	7	advcl	_	TokenRange=76:78
16	cerca	cerca	ADV	ADV	_	18	advmod	_	TokenRange=79:84
17	de	de	ADP	ADP	_	16	case	_	TokenRange=85:87
18	1	_	NUM	NUM	NumType=Card	19	nummod	_	TokenRange=88:89
19	mes	mes	NOUN	NOUN	_	15	nmod	_	TokenRange=90:93
20	a	o	DET	DET	_	21	det	_	TokenRange=94:95
21	folha/sp	folha/sp	NOUN	NOUN	_	22	nsubj	_	TokenRange=96:104
22	divulgou	divulgar	VERB	VERB	_	7	parataxis	_	TokenRange=105:113
23	uma	um	DET	DET	_	24	det	_	TokenRange=114:117
24	conversa	_	NOUN	NOUN	_	22	obj	_	TokenRange=118:126
25	gravada	gravar	VERB	VERB	_	24	acl	_	TokenRange=127:134
26	entre	_	ADP	ADP	_	28	case	_	TokenRange=135:140
27	o	o	DET	DET	_	28	det	_	TokenRange=141:142
28	expresidente	expresidente	NOUN	NOUN	_	25	nmod	_	TokenRange=143:155
29-30	da	_	_	_	_	_	_	_	TokenRange=156:158
29	de	de	ADP	ADP	_	31	case	_	_
30	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	31	det	_	_
