# generator = UDPipe 2, https://lindat.mff.cuni.cz/services/udpipe
# udpipe_model = portuguese-gsd-ud-2.10-220711
# udpipe_model_licence = CC BY-NC-SA
# newdoc
# newpar
# sent_id = 1
# text = olha a confusao alexandre frota grava video e desafia ciro gomes o ator alexandre frota gravou um video na manha de hoje 18 frota tomou as dores dos manifestantes que foram atacados por ciro gomes e resolveu desafiar o politico cearense eu acabei de assistir as cenas onde ciro gomes agride os manifestantes de bem mostrando sua truculencia quero dizer que fdp e voce disse frota no video que circulou pelas redes sociais ciro aparace xingando algumas pessoas que estavam na porta de sua casa ele ainda xingou os manifestantes de viado filho da p e disse que estava protegendoos de levar um tiro na cara nao se sabe ao certo como comecou o conflito entre ciro e os jovens que apareceram na filmagem
1	olha	olhar	VERB	VERB	_	0	root	_	TokenRange=0:4
2	a	o	DET	DET	_	3	det	_	TokenRange=5:6
3	confusao	confusao	NOUN	NOUN	_	1	obj	_	TokenRange=7:15
4	alexandre	alexandre	NOUN	NOUN	_	3	appos	_	TokenRange=16:25
5	frota	frota	NOUN	NOUN	_	4	flat	_	TokenRange=26:31
6	grava	gravar	VERB	VERB	_	1	parataxis	_	TokenRange=32:37
7	video	video	NOUN	NOUN	_	6	obj	_	TokenRange=38:43
8	e	e	CCONJ	CONJ	_	9	cc	_	TokenRange=44:45
9	desafia	desafiar	VERB	VERB	_	6	conj	_	TokenRange=46:53
10	ciro	ciro	NOUN	NOUN	_	9	obj	_	TokenRange=54:58
11	gomes	gome	NOUN	NOUN	_	10	flat	_	TokenRange=59:64
12	o	o	DET	DET	_	13	det	_	TokenRange=65:66
13	ator	ator	NOUN	NOUN	_	16	nsubj	_	TokenRange=67:71
14	alexandre	alexandre	NOUN	NOUN	_	13	appos	_	TokenRange=72:81
15	frota	frota	NOUN	NOUN	_	14	flat	_	TokenRange=82:87
16	gravou	gravar	VERB	VERB	_	1	parataxis	_	TokenRange=88:94
17	um	um	DET	DET	_	18	det	_	TokenRange=95:97
18	video	video	NOUN	NOUN	_	16	obj	_	TokenRange=98:103
19-20	na	_	_	_	_	_	_	_	TokenRange=104:106
19	em	em	ADP	ADP	_	21	case	_	_
20	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	21	det	_	_
21	manha	manha	NOUN	NOUN	_	16	nmod	_	TokenRange=107:112
22	de	_	ADP	ADP	_	23	mark	_	TokenRange=113:115
23	hoje	hoje	ADV	ADV	_	21	nmod	_	TokenRange=116:120
24	18	_	NUM	NUM	NumType=Card	25	nummod	_	TokenRange=121:123
25	frota	frota	NOUN	NOUN	_	26	nsubj	_	TokenRange=124:129
26	tomou	tomar	VERB	VERB	_	1	conj	_	TokenRange=130:135
27	as	o	DET	DET	_	28	det	_	TokenRange=136:138
28	dores	dor	NOUN	NOUN	_	26	obj	_	TokenRange=139:144
29-30	dos	_	_	_	_	_	_	_	TokenRange=145:148
29	de	de	ADP	ADP	_	31	case	_	_
30	os	o	DET	DET	Definite=Def|Gender=Masc|Number=Plur|PronType=Art	31	det	_	_
31	manifestantes	manifestante	NOUN	NOUN	_	28	nmod	_	TokenRange=149:162
32	que	_	PRON	PRON	_	34	nsubj:pass	_	TokenRange=163:166
33	foram	_	AUX	AUX	_	34	aux:pass	_	TokenRange=167:172
34	atacados	atacar	VERB	VERB	_	31	acl:relcl	_	TokenRange=173:181
35	por	por	ADP	ADP	_	36	case	_	TokenRange=182:185
36	ciro	ciro	NOUN	NOUN	_	34	nmod	_	TokenRange=186:190
37	gomes	gome	NOUN	NOUN	_	36	flat	_	TokenRange=191:196
38	e	e	CCONJ	CONJ	_	39	cc	_	TokenRange=197:198
39	resolveu	resolver	VERB	VERB	_	26	conj	_	TokenRange=199:207
