# generator = UDPipe 2, https://lindat.mff.cuni.cz/services/udpipe
# udpipe_model = portuguese-gsd-ud-2.10-220711
# udpipe_model_licence = CC BY-NC-SA
# newdoc
# newpar
# sent_id = 1
# text = tudo junto misturado delacao podera provar lula collor fhc farinha saco corrupto pedro correa exdeputado deu detalhes primeira vez embolsou propina confessou recebido dinheiro desviado quase vinte orgaos governo bancos ministerios estatais agencias reguladoras quarenta anos corrupcao revista veja publicou resumo sobre relato medico pernambucano usou politica conseguir fama fortuna pedro detalhou esquemas corrupcao remontam governos militares gestao fernando collor fernando henrique cardoso chegar corrupta todos tempo governo petista depoimento correa aponta beneficiarios propina senadores deputados governadores exgovernadores ministros integrantes tribunal contas uniao pedro revelou combinada partilha cargos governo expresidente lula confessa comprado votos expresidente lula acordo exdeputado coordenou pessoalmente esquema corrupcao petrobras desde indicacao diretores corruptos estatal divisao dinheiro desviado politicos partidos conta lula tratou caciques pp sobre farra contratos diretoria abastecimento petrobras comandada paulo roberto costa episodios representativos segundo correa deu parlamentares pp rebelaram contra avanco pmdb contratos diretoria paulo roberto costa grupo politicos planalto reclamar lula invasao lula passou bronca deputados dizendo burras cheias dinheiro diretoria grande atender outros aliados pois orcamento grande diretoria capaz atender todo mundo caso informacoes correa legitimadas orgaos competentes testemunho confirmara participacao direta lula esquema petrobras
1	tudo	_	PRON	PRON	_	6	nsubj	_	TokenRange=0:4
2	junto	junto	ADV	ADV	_	1	advmod	_	TokenRange=5:10
3	misturado	misturar	VERB	VERB	_	1	acl	_	TokenRange=11:20
4	delacao	_	NOUN	NOUN	_	3	obj	_	TokenRange=21:28
5	podera	_	AUX	AUX	_	6	aux	_	TokenRange=29:35
6	provar	provar	VERB	VERB	_	0	root	_	TokenRange=36:42
7	lula	lula	NOUN	NOUN	_	6	obj	_	TokenRange=43:47
8	collor	_	NOUN	NOUN	_	7	flat	_	TokenRange=48:54
9	fhc	_	NOUN	NOUN	_	7	appos	_	TokenRange=55:58
10	farinha	farinha	NOUN	NOUN	_	7	flat	_	TokenRange=59:66
11	saco	saco	NOUN	NOUN	_	7	appos	_	TokenRange=67:71
12	corrupto	corrupto	ADJ	ADJ	_	11	amod	_	TokenRange=72:80
13	pedro	pedro	NOUN	NOUN	_	11	appos	_	TokenRange=81:86
14	correa	correo	ADJ	ADJ	_	13	amod	_	TokenRange=87:93
15	exdeputado	exdeputado	NOUN	NOUN	_	16	nsubj	_	TokenRange=94:104
16	deu	dar	VERB	VERB	_	6	conj	_	TokenRange=105:108
17	detalhes	detalhe	NOUN	NOUN	_	16	obj	_	TokenRange=109:117
18	primeira	primeiro	ADJ	ADJ	_	19	amod	_	TokenRange=118:126
19	vez	vez	NOUN	NOUN	_	20	nmod	_	TokenRange=127:130
20	embolsou	embolsar	VERB	VERB	_	16	ccomp	_	TokenRange=131:139
21	propina	propina	NOUN	NOUN	_	20	obj	_	TokenRange=140:147
22	confessou	confessar	AUX	VERB	_	23	aux	_	TokenRange=148:157
23	recebido	receber	VERB	VERB	_	21	acl	_	TokenRange=158:166
24	dinheiro	dinheiro	NOUN	NOUN	_	23	obj	_	TokenRange=167:175
25	desviado	desviado	ADJ	ADJ	_	24	amod	_	TokenRange=176:184
26	quase	quase	ADV	ADV	_	27	advmod	_	TokenRange=185:190
27	vinte	_	NUM	NUM	NumType=Card	28	nummod	_	TokenRange=191:196
28	orgaos	orgao	NOUN	NOUN	_	23	obj	_	TokenRange=197:203
29	governo	governo	NOUN	NOUN	_	28	flat	_	TokenRange=204:211
30	bancos	banco	NOUN	NOUN	_	28	appos	_	TokenRange=212:218
31	ministerios	ministerio	NOUN	NOUN	_	28	appos	_	TokenRange=219:230
32	estatais	estatal	ADJ	ADJ	_	31	amod	_	TokenRange=231:239
33	agencias	agencia	NOUN	NOUN	_	28	appos	_	TokenRange=240:248
34	reguladoras	regulador	ADJ	ADJ	_	33	amod	_	TokenRange=249:260
35	quarenta	_	NUM	NUM	NumType=Card	36	nummod	_	TokenRange=261:269
36	anos	ano	NOUN	NOUN	_	33	appos	_	TokenRange=270:274
37	corrupcao	corrupcao	ADJ	ADJ	_	113	amod	_	TokenRange=275:284
38	revista	revista	NOUN	NOUN	_	40	nsubj	_	TokenRange=285:292
