1 retrospectiva retrospectiva 36 NOUN parataxis
2 2017 2017 1 NUM appos
3 os o 5 DET det
4 principais principal 5 ADJ amod
5 fatos fato 36 NOUN nsubj
6 de de 8 ADP case
7 o o 8 DET det
8 ano ano 5 NOUN nmod
9 em em 10 ADP case
10 pernambuco pernambuco 5 NOUN nmod
11 numero numero 5 NOUN appos
12 elevado elevado 11 ADJ amod
13 de de 14 ADP case
14 homicidios homicidio 11 NOUN nmod
15 assalto assalto 14 NOUN appos
16 a a 18 ADP case
17 uma um 18 DET det
18 transportadora transportador 15 NOUN nmod
19 de de 20 ADP case
20 valores valores 18 NOUN nmod
21 enchentes enchente 11 NOUN appos
22 em em 24 ADP case
23 a o 24 DET det
24 mata mata 21 NOUN nmod
25 sul sul 24 ADJ amod
26 e e 27 CCONJ cc
27 feminicidio feminicidio 15 NOUN conj
28 cometido cometer 27 VERB acl
29 em em 31 ADP case
30 a o 31 DET det
31 zona zona 28 NOUN nmod
32 sul sul 31 ADJ amod
33 de de 35 ADP case
34 o o 35 DET det
35 recife recife 31 NOUN nmod
36 estao estao 0 VERB root
37 entre entre 39 ADP case
38 os o 39 DET det
39 fatos fato 36 NOUN nmod
40 mais mais 41 ADV advmod
41 marcantes marcante 39 ADJ amod
42 de de 44 ADP case
43 o o 44 DET det
44 ano ano 39 NOUN nmod
45 assalto assalto 39 NOUN appos
46 a a 48 ADP case
47 uma um 48 DET det
48 transportadora transportador 45 NOUN nmod
49 de de 50 ADP case
50 valores valores 48 NOUN nmod
51 feminicidio feminicidio 45 NOUN appos
52 cometido cometer 51 VERB acl
53 por por 55 ADP case
54 um um 55 DET det
55 vizinho vizinho 52 NOUN nmod
56 enchentes enchente 55 NOUN amod
57 em em 58 ADP case
58 cidades cidade 52 NOUN nmod
59 de de 61 ADP case
60 a o 61 DET det
61 zona zona 58 NOUN nmod
62 de de 64 ADP case
63 a o 64 DET det
64 mata mata 61 NOUN nmod
65 sul sul 64 ADJ amod
66 e e 67 CCONJ cc
67 numero numero 256 NOUN nsubj
68 de de 69 ADP case
69 homicidios homicidio 67 NOUN nmod
70 chegando chegar 67 VERB acl
71 a a 73 ADP case
72 cinco cinco 73 NUM nummod
73 mil mil 70 NUM nmod
74 estao estao 36 VERB conj
75 entre entre 77 ADP case
76 os o 77 DET det
77 assuntos assunto 74 NOUN nmod
78 marcantes marcante 77 ADJ amod
79 de de 80 ADP case
80 2017 2017 77 NUM nmod
81 em em 82 ADP case
82 pernambuco pernambuco 290 NOUN nmod
83 o o 84 DET det
84 g1 g1 219 NOUN nsubj
85 listou listar 36 VERB parataxis
86 noticias noticia 85 NOUN obj
87 publicadas publicar 86 VERB acl
88 entre entre 89 ADP case
89 janeiro janeiro 87 PROPN nmod
90 e e 91 CCONJ cc
91 dezembro dezembro 89 PROPN conj
92 deste deste 93 ADP case
93 ano ano 89 NOUN nmod
94 em em 95 ADP case
95 ordem ordem 87 NOUN nmod
96 cronologica cronologico 95 ADJ amod
97 que que 98 PRON nsubj
98 chamaram chamar 95 VERB acl:relcl
99 a o 100 DET det
100 atencao atencao 171 NOUN obj
101 de de 103 ADP case
102 os o 103 DET det
103 leitores leitor 100 NOUN nmod
104 festa festa 171 NOUN obj
105 com com 106 ADP case
106 bebida bebida 104 NOUN nmod
107 e e 108 CCONJ cc
108 drogas droga 106 NOUN conj
109 em em 110 ADP case
110 presidio presidio 28 NOUN nmod
111 feminino feminino 110 ADJ amod
112 o o 113 DET det
113 ano ano 322 NOUN nsubj
114 comecou comecar 219 VERB ccomp
115 com com 116 ADP case
116 festa festa 345 NOUN nmod
117 em em 119 ADP case
118 a o 119 DET det
119 colonia colonia 116 NOUN nmod
120 penal penal 119 ADJ amod
121 feminina feminino 119 ADJ amod
122 de de 124 ADP case
123 o o 124 DET det
124 recife recife 119 NOUN nmod
125 com com 126 ADP case
126 detentas detenta 345 NOUN nmod
127 usando usar 126 VERB acl
128 celulares celulares 127 NOUN obj
129 ouvindo ouvir 126 VERB acl
130 musica musica 129 NOUN obj
131 e e 132 CCONJ cc
132 consumindo consumir 129 VERB conj
133 bebidas bebida 132 NOUN obj
134 e e 135 CCONJ cc
135 drogas droga 133 NOUN conj
136 durante durante 247 ADP case
137 a o 247 DET det
138 virada virada 132 NOUN nmod
139 de de 140 ADP case
140 ano ano 138 NOUN nmod
141 por por 142 ADP case
142 meio meio 132 NOUN nmod
143 de de 145 ADP case
144 um um 145 DET det
145 video video 142 NOUN nmod
146 que que 147 PRON nsubj
147 ganhou ganhar 145 VERB acl:relcl
148 as o 149 DET det
149 redes rede 147 NOUN obj
150 sociais social 149 ADJ amod
151 e e 152 CCONJ cc
152 chegou chegar 52 VERB conj
153 a a 155 ADP case
154 o o 155 DET det
155 whatsapp whatsapp 152 NOUN nmod
156 de de 158 ADP case
157 a o 158 DET det
158 tv tv 155 NOUN nmod
159 globo globo 158 ADJ flat
160 em em 162 ADP case
161 o o 162 DET det
162 inicio inicio 152 NOUN nmod
163 de de 164 ADP case
164 janeiro janeiro 162 PROPN nmod
165 e e 254 CCONJ cc
166 possivel possivel 256 ADJ amod
167 ouvir ouvir 290 VERB conj
168 que que 171 CCONJ mark
169 as o 170 DET det
170 presidiarias presidiaria 171 NOUN nsubj
171 chamam chamar 167 VERB ccomp
172 o o 173 DET det
173 evento evento 171 NOUN obj
174 de de 175 ADP case
175 bonde bonde 171 NOUN nmod
176 de de 178 ADP case
177 o o 178 DET det
178 prato prato 175 NOUN nmod
179 em em 180 ADP case
180 referencia referencia 171 NOUN nmod
181 a a 183 ADP case
182 o o 183 DET det
183 consumo consumo 180 NOUN nmod
184 de de 185 ADP case
185 drogas droga 183 NOUN nmod
186 veja ver 219 VERB parataxis
187 video video 345 NOUN nmod
188 acima acima 187 ADV advmod
189 a o 190 DET det
190 veracidade veracidade 345 NOUN nsubj
191 de de 193 ADP case
192 as o 193 DET det
193 imagens imagem 190 NOUN nmod
194 foi foi 195 AUX aux:pass
195 confirmada confirmar 219 VERB ccomp
196 por por 198 ADP case
197 o o 198 DET det
198 governo governo 195 NOUN nmod
199 de de 201 ADP case
200 o o 201 DET det
201 estado estado 198 NOUN nmod
202 em em 203 ADP case
203 entrevista entrevista 195 NOUN nmod
204 a a 206 ADP case
205 o o 206 DET det
206 g1 g1 203 PROPN nmod
207 em em 209 ADP case
208 a o 209 DET det
209 epoca epoca 132 NOUN nmod
210 o o 211 DET det
211 secretario secretario 345 NOUN nsubj
212 de de 213 ADP case
213 justica justica 211 NOUN nmod
214 e e 215 CCONJ cc
215 direitos direito 213 NOUN conj
216 humanos humano 215 ADJ amod
217 pedro pedro 211 NOUN appos
218 eurico eurico 217 NOUN flat
219 afirmou afirmar 36 VERB parataxis
220 que que 223 CCONJ mark
221 as o 222 DET det
222 presidiarias presidiaria 223 NOUN nsubj
223 receberam receber 219 VERB ccomp
224 as o 226 DET det
225 devidas devido 226 ADJ amod
226 punicoes punicoes 223 NOUN obj
227 e e 229 CCONJ cc
228 foi foi 229 AUX aux:pass
229 aberto abrir 114 VERB conj
230 um um 231 DET det
231 inquerito inquerito 345 NOUN nsubj
232 administrativo administrativo 231 ADJ amod
233 para para 234 ADP mark
234 apurar apurar 345 VERB nmod
235 as o 236 DET det
236 circunstancias circunstancia 234 NOUN obj
237 de de 239 ADP case
238 a o 239 DET det
239 festa festa 236 NOUN nmod
240 agencia agencia 262 NOUN appos
241 de de 242 ADP case
242 transporte transporte 240 NOUN nmod
243 de de 244 ADP case
244 valores valores 242 NOUN nmod
245 em em 247 ADP case
246 a o 247 DET det
247 mira mira 132 NOUN nmod
248 de de 249 ADP case
249 assaltantes assaltante 247 NOUN nmod
250 tiros tiro 211 NOUN appos
