# generator = UDPipe 2, https://lindat.mff.cuni.cz/services/udpipe
# udpipe_model = portuguese-gsd-ud-2.10-220711
# udpipe_model_licence = CC BY-NC-SA
# newdoc
# newpar
# sent_id = 1
# text = perdi hoje um parceiro de uma vida diz dilma em texto sobre a morte do exmarido postagem foi feita em seu blog no dia seguinte a morte de carlos araujo em porto alegre os dois foram casados por mais de 20 anos e tiveram uma filha juntos a expresidente dilma rousseff postou em seu blog na manha deste domingo 13 um texto em homenagem ao exmarido carlos araujo que morreu na madrugada de sabado 12 em porto alegre em virtude de complicacoes de doenca pulmonar cronica intitulado a perda de um companheiro o texto chama araujo com quem dilma foi casada por mais de 20 anos de um bravo
1	perdi	perder	VERB	VERB	_	8	csubj	_	TokenRange=0:5
2	hoje	hoje	ADV	ADV	_	1	advmod	_	TokenRange=6:10
3	um	um	DET	DET	_	4	det	_	TokenRange=11:13
4	parceiro	parceiro	NOUN	NOUN	_	1	obj	_	TokenRange=14:22
5	de	de	ADP	ADP	_	7	case	_	TokenRange=23:25
6	uma	um	DET	DET	_	7	det	_	TokenRange=26:29
7	vida	vida	NOUN	NOUN	_	4	nmod	_	TokenRange=30:34
8	diz	dizer	VERB	VERB	_	0	root	_	TokenRange=35:38
9	dilma	dilma	NOUN	NOUN	_	20	nsubj:pass	_	TokenRange=39:44
10	em	em	ADP	ADP	_	11	case	_	TokenRange=45:47
11	texto	texto	NOUN	NOUN	_	20	nmod	_	TokenRange=48:53
12	sobre	_	ADP	ADP	_	14	case	_	TokenRange=54:59
13	a	o	DET	DET	_	14	det	_	TokenRange=60:61
14	morte	morte	NOUN	NOUN	_	11	nmod	_	TokenRange=62:67
15-16	do	_	_	_	_	_	_	_	TokenRange=68:70
15	de	de	ADP	ADP	_	17	case	_	_
16	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	17	det	_	_
17	exmarido	exmarido	ADJ	NOUN	_	14	nmod	_	TokenRange=71:79
18	postagem	postagem	NOUN	NOUN	_	20	nsubj:pass	_	TokenRange=80:88
19	foi	_	AUX	AUX	_	20	aux:pass	_	TokenRange=89:92
20	feita	_	VERB	VERB	_	8	parataxis	_	TokenRange=93:98
21	em	em	ADP	ADP	_	23	case	_	TokenRange=99:101
22	seu	_	DET	DET	_	23	det:poss	_	TokenRange=102:105
23	blog	blog	NOUN	NOUN	_	20	nmod	_	TokenRange=106:110
24-25	no	_	_	_	_	_	_	_	TokenRange=111:113
24	em	em	ADP	ADP	_	26	case	_	_
25	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	26	det	_	_
26	dia	dia	NOUN	NOUN	_	20	nmod	_	TokenRange=114:117
27	seguinte	seguinte	ADJ	ADJ	_	26	amod	_	TokenRange=118:126
28	a	o	DET	DET	_	29	det	_	TokenRange=127:128
29	morte	morte	NOUN	NOUN	_	20	nsubj:pass	_	TokenRange=129:134
30	de	de	ADP	ADP	_	31	case	_	TokenRange=135:137
31	carlos	carlo	NOUN	NOUN	_	29	nmod	_	TokenRange=138:144
32	araujo	araujo	NOUN	NOUN	_	31	flat	_	TokenRange=145:151
33	em	em	ADP	ADP	_	34	case	_	TokenRange=152:154
34	porto	_	PROPN	PNOUN	_	20	nmod	_	TokenRange=155:160
35	alegre	alegre	ADJ	ADJ	_	34	amod	_	TokenRange=161:167
36	os	o	DET	DET	_	37	det	_	TokenRange=168:170
37	dois	_	NUM	NUM	NumType=Card	38	nsubj	_	TokenRange=171:175
38	foram	_	VERB	VERB	_	20	aux:pass	_	TokenRange=176:181
39	casados	casar	VERB	VERB	_	38	xcomp	_	TokenRange=182:189
40	por	por	ADP	ADP	_	44	case	_	TokenRange=190:193
41	mais	mais	ADV	ADV	_	43	advmod	_	TokenRange=194:198
42	de	de	ADP	ADP	_	41	case	_	TokenRange=199:201
43	20	_	NUM	NUM	NumType=Card	44	nummod	_	TokenRange=202:204
44	anos	ano	NOUN	NOUN	_	39	nmod	_	TokenRange=205:209
45	e	e	CCONJ	CONJ	_	46	cc	_	TokenRange=210:211
46	tiveram	ter	VERB	VERB	_	38	conj	_	TokenRange=212:219
47	uma	um	DET	DET	_	48	det	_	TokenRange=220:223
48	filha	filho	NOUN	NOUN	_	46	obj	_	TokenRange=224:229
49	juntos	junto	ADJ	ADJ	_	48	amod	_	TokenRange=230:236
50	a	o	DET	DET	_	51	det	_	TokenRange=237:238
51	expresidente	expresidente	NOUN	NOUN	_	54	nsubj	_	TokenRange=239:251
52	dilma	dilma	NOUN	NOUN	_	51	appos	_	TokenRange=252:257
53	rousseff	rousseff	NOUN	NOUN	_	51	appos	_	TokenRange=258:266
54	postou	postar	VERB	VERB	_	38	conj	_	TokenRange=267:273
55	em	em	ADP	ADP	_	57	case	_	TokenRange=274:276
56	seu	_	DET	DET	_	57	det:poss	_	TokenRange=277:280
57	blog	blog	NOUN	NOUN	_	54	nmod	_	TokenRange=281:285
58-59	na	_	_	_	_	_	_	_	TokenRange=286:288
58	em	em	ADP	ADP	_	60	case	_	_
59	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	60	det	_	_
60	manha	manha	NOUN	NOUN	_	54	nmod	_	TokenRange=289:294
61	deste	_	ADP	ADP	_	62	case	_	TokenRange=295:300
62	domingo	_	PROPN	PNOUN	_	60	nmod	_	TokenRange=301:308
63	13	_	NUM	NUM	NumType=Card	62	nmod	_	TokenRange=309:311
64	um	um	DET	DET	_	65	det	_	TokenRange=312:314
65	texto	texto	NOUN	NOUN	_	54	obj	_	TokenRange=315:320
66	em	em	ADP	ADP	_	67	case	_	TokenRange=321:323
67	homenagem	homenagem	NOUN	NOUN	_	65	nmod	_	TokenRange=324:333
68-69	ao	_	_	_	_	_	_	_	TokenRange=334:336
68	a	a	ADP	ADP	_	70	case	_	_
69	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	70	det	_	_
70	exmarido	exmarido	NOUN	NOUN	_	67	nmod	_	TokenRange=337:345
71	carlos	carlo	NOUN	NOUN	_	70	appos	_	TokenRange=346:352
72	araujo	araujo	ADJ	ADJ	_	71	flat	_	TokenRange=353:359
73	que	_	PRON	PRON	_	74	nsubj	_	TokenRange=360:363
74	morreu	morrer	VERB	VERB	_	70	acl:relcl	_	TokenRange=364:370
75-76	na	_	_	_	_	_	_	_	TokenRange=371:373
75	em	em	ADP	ADP	_	77	case	_	_
76	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	77	det	_	_
77	madrugada	madrugada	NOUN	NOUN	_	74	nmod	_	TokenRange=374:383
78	de	de	ADP	ADP	_	79	case	_	TokenRange=384:386
79	sabado	_	PROPN	NOUN	_	77	nmod	_	TokenRange=387:393
80	12	_	NUM	NUM	NumType=Card	79	nmod	_	TokenRange=394:396
81	em	em	ADP	ADP	_	82	case	_	TokenRange=397:399
