# generator = UDPipe 2, https://lindat.mff.cuni.cz/services/udpipe
# udpipe_model = portuguese-gsd-ud-2.10-220711
# udpipe_model_licence = CC BY-NC-SA
# newdoc
# newpar
# sent_id = 1
# text = entenda a crise politica no paraguai apos aprovacao da reeleicao no senado segundo mandato e proibido a presidentes paraguaios desde o fim da ditadura stroessner projeto acirrou os animos no pais vizinho levando a invasao do congresso na sextafeira 31 a aprovacao no senado de uma emenda que permite a reeleicao do presidente horacio cartes em 2018 impulsionou uma intensa crise politica no pais para os opositores do governo conservador a reeleicao fragilizaria as instituicoes democraticas cerca de mil paraguaios se revoltaram com a aprovacao da mudanca na constituicao
1	entenda	entender	VERB	VERB	_	0	root	_	TokenRange=0:7
2	a	o	DET	DET	_	3	det	_	TokenRange=8:9
3	crise	crise	NOUN	NOUN	_	1	obj	_	TokenRange=10:15
4	politica	politico	ADJ	ADJ	_	3	amod	_	TokenRange=16:24
5-6	no	_	_	_	_	_	_	_	TokenRange=25:27
5	em	em	ADP	ADP	_	7	case	_	_
6	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	7	det	_	_
7	paraguai	paraguai	NOUN	NOUN	_	3	nmod	_	TokenRange=28:36
8	apos	_	ADP	ADP	_	9	case	_	TokenRange=37:41
9	aprovacao	aprovacao	NOUN	NOUN	_	1	nmod	_	TokenRange=42:51
10-11	da	_	_	_	_	_	_	_	TokenRange=52:54
10	de	de	ADP	ADP	_	12	case	_	_
11	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	12	det	_	_
12	reeleicao	reeleicao	NOUN	NOUN	_	9	nmod	_	TokenRange=55:64
13-14	no	_	_	_	_	_	_	_	TokenRange=65:67
13	em	em	ADP	ADP	_	15	case	_	_
14	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	15	det	_	_
15	senado	senado	NOUN	NOUN	_	12	nmod	_	TokenRange=68:74
16	segundo	segundo	ADJ	ADJ	_	17	amod	_	TokenRange=75:82
17	mandato	mandato	NOUN	NOUN	_	9	appos	_	TokenRange=83:90
18	e	e	CCONJ	CONJ	_	19	cc	_	TokenRange=91:92
19	proibido	proibir	ADJ	ADJ	_	9	conj	_	TokenRange=93:101
20	a	_	ADP	ADP	_	21	case	_	TokenRange=102:103
21	presidentes	presidente	NOUN	NOUN	_	19	nmod	_	TokenRange=104:115
22	paraguaios	paraguaio	ADJ	ADJ	_	21	amod	_	TokenRange=116:126
23	desde	_	ADP	ADP	_	25	case	_	TokenRange=127:132
24	o	o	DET	DET	_	25	det	_	TokenRange=133:134
25	fim	fim	NOUN	NOUN	_	19	nmod	_	TokenRange=135:138
26-27	da	_	_	_	_	_	_	_	TokenRange=139:141
26	de	de	ADP	ADP	_	28	case	_	_
27	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	28	det	_	_
28	ditadura	ditadura	NOUN	NOUN	_	25	nmod	_	TokenRange=142:150
29	stroessner	_	ADJ	ADJ	_	28	amod	_	TokenRange=151:161
30	projeto	projeto	NOUN	NOUN	_	31	nsubj	_	TokenRange=162:169
31	acirrou	acirrar	VERB	VERB	_	1	parataxis	_	TokenRange=170:177
32	os	o	DET	DET	_	33	det	_	TokenRange=178:180
33	animos	animo	NOUN	NOUN	_	31	obj	_	TokenRange=181:187
34-35	no	_	_	_	_	_	_	_	TokenRange=188:190
34	em	em	ADP	ADP	_	36	case	_	_
35	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	36	det	_	_
36	pais	_	NOUN	NOUN	_	31	nmod	_	TokenRange=191:195
37	vizinho	vizinho	ADJ	ADJ	_	36	amod	_	TokenRange=196:203
38	levando	levar	VERB	VERB	_	31	acl	_	TokenRange=204:211
39	a	_	DET	DET	_	40	case	_	TokenRange=212:213
40	invasao	invasao	NOUN	NOUN	_	38	obj	_	TokenRange=214:221
41-42	do	_	_	_	_	_	_	_	TokenRange=222:224
41	de	de	ADP	ADP	_	43	case	_	_
42	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	43	det	_	_
43	congresso	congresso	NOUN	NOUN	_	40	nmod	_	TokenRange=225:234
44-45	na	_	_	_	_	_	_	_	TokenRange=235:237
44	em	em	ADP	ADP	_	46	case	_	_
45	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	46	det	_	_
46	sextafeira	_	PROPN	PNOUN	_	38	nmod	_	TokenRange=238:248
47	31	_	NUM	NUM	NumType=Card	46	appos	_	TokenRange=249:251
48	a	o	DET	DET	_	49	det	_	TokenRange=252:253
49	aprovacao	aprovacao	NOUN	NOUN	_	31	nsubj	_	TokenRange=254:263
50-51	no	_	_	_	_	_	_	_	TokenRange=264:266
50	em	em	ADP	ADP	_	52	case	_	_
51	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	52	det	_	_
52	senado	senado	NOUN	NOUN	_	49	nmod	_	TokenRange=267:273
53	de	de	ADP	ADP	_	55	case	_	TokenRange=274:276
54	uma	um	DET	DET	_	55	det	_	TokenRange=277:280
55	emenda	emenda	NOUN	NOUN	_	49	nmod	_	TokenRange=281:287
56	que	_	PRON	PRON	_	57	nsubj	_	TokenRange=288:291
57	permite	permitir	VERB	VERB	_	55	acl:relcl	_	TokenRange=292:299
58	a	o	DET	DET	_	59	det	_	TokenRange=300:301
59	reeleicao	reeleicao	NOUN	NOUN	_	57	obj	_	TokenRange=302:311
60-61	do	_	_	_	_	_	_	_	TokenRange=312:314
60	de	de	ADP	ADP	_	62	case	_	_
61	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	62	det	_	_
62	presidente	presidente	NOUN	NOUN	_	59	nmod	_	TokenRange=315:325
63	horacio	horacio	NOUN	NOUN	_	62	appos	_	TokenRange=326:333
64	cartes	_	PROPN	PNOUN	_	63	flat	_	TokenRange=334:340
65	em	em	ADP	ADP	_	66	case	_	TokenRange=341:343
66	2018	_	NUM	NUM	NumType=Card	57	nmod	_	TokenRange=344:348
67	impulsionou	impulsionar	VERB	VERB	_	1	parataxis	_	TokenRange=349:360
68	uma	um	DET	DET	_	70	det	_	TokenRange=361:364
69	intensa	intenso	ADJ	ADJ	_	70	amod	_	TokenRange=365:372
70	crise	crise	NOUN	NOUN	_	67	obj	_	TokenRange=373:378
71	politica	politico	ADJ	ADJ	_	70	amod	_	TokenRange=379:387
72-73	no	_	_	_	_	_	_	_	TokenRange=388:390
72	em	em	ADP	ADP	_	74	case	_	_
73	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	74	det	_	_
74	pais	_	NOUN	NOUN	_	70	nmod	_	TokenRange=391:395
75	para	para	ADP	ADP	_	77	case	_	TokenRange=396:400
76	os	o	DET	DET	_	77	det	_	TokenRange=401:403
77	opositores	opositor	NOUN	NOUN	_	67	nmod	_	TokenRange=404:414
78-79	do	_	_	_	_	_	_	_	TokenRange=415:417
78	de	de	ADP	ADP	_	80	case	_	_
79	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	80	det	_	_
80	governo	governo	NOUN	NOUN	_	77	nmod	_	TokenRange=418:425
81	conservador	conservador	ADJ	ADJ	_	80	amod	_	TokenRange=426:437
82	a	o	DET	DET	_	83	det	_	TokenRange=438:439
83	reeleicao	reeleicao	NOUN	NOUN	_	84	nsubj	_	TokenRange=440:449
84	fragilizaria	fragilizar	VERB	VERB	_	67	parataxis	_	TokenRange=450:462
85	as	o	DET	DET	_	86	det	_	TokenRange=463:465
86	instituicoes	instituicoe	NOUN	NOUN	_	84	obj	_	TokenRange=466:478
