# generator = UDPipe 2, https://lindat.mff.cuni.cz/services/udpipe
# udpipe_model = portuguese-gsd-ud-2.10-220711
# udpipe_model_licence = CC BY-NC-SA
# newdoc
# newpar
# sent_id = 1
# text = perguntaram para trump se ele iria se encontrar com temer ele respondeu pra que trump fez outro comentario sobre temer esse e aquele senhor da mala uma fonte de washington questionou rapidamente um dos assessores do presidente donald trump sobre uma possivel aproximacao entre os eua e o brasil na correria dos corredores da casa branca o assessor teria respondido pra conversar o que o presidente tem outras prioridades atualmente como a questao da imigracao a retomada do crescimento economico de nossa nacao e os conflitos na peninsula coreana as relacoes comerciais entre os eua e os paises da america latina serao reformuladas no decorrer do mandato disse e continuou nao se preocupe o mike se referindo a mike pence o vicepresidente ja conversou com o presidente brasileiro por telefone para nao perder a piada o assessor brincou foi uma conversa saudavel de vice para vice pois e essa e a fama do nosso presidente no exterior leia tambem
1	perguntaram	perguntar	VERB	VERB	_	0	root	_	TokenRange=0:11
2	para	para	ADP	ADP	_	3	case	_	TokenRange=12:16
3	trump	_	NOUN	NOUN	_	1	nmod	_	TokenRange=17:22
4	se	_	CCONJ	CONJ	_	8	mark	_	TokenRange=23:25
5	ele	_	PRON	PRON	_	8	nsubj	_	TokenRange=26:29
6	iria	_	AUX	AUX	_	8	aux	_	TokenRange=30:34
7	se	_	PRON	PRON	_	8	obj	_	TokenRange=35:37
8	encontrar	encontrar	VERB	VERB	_	1	ccomp	_	TokenRange=38:47
9	com	com	ADP	ADP	_	10	case	_	TokenRange=48:51
10	temer	temer	NOUN	NOUN	_	8	nmod	_	TokenRange=52:57
11	ele	_	PRON	PRON	_	12	nsubj	_	TokenRange=58:61
12	respondeu	responder	VERB	VERB	_	1	ccomp	_	TokenRange=62:71
13	pra	_	ADP	ADP	_	16	mark	_	TokenRange=72:75
14	que	que	CCONJ	CONJ	_	16	mark	_	TokenRange=76:79
15	trump	_	NOUN	NOUN	_	16	nsubj	_	TokenRange=80:85
16	fez	fazer	VERB	VERB	_	12	nmod	_	TokenRange=86:89
17	outro	_	DET	DET	_	18	det	_	TokenRange=90:95
18	comentario	comentario	NOUN	NOUN	_	16	obj	_	TokenRange=96:106
19	sobre	_	ADP	ADP	_	20	mark	_	TokenRange=107:112
20	temer	temer	VERB	VERB	_	18	nmod	_	TokenRange=113:118
21	esse	_	PRON	PRON	_	20	obj	_	TokenRange=119:123
22	e	e	CCONJ	CONJ	_	24	cc	_	TokenRange=124:125
23	aquele	_	DET	DET	_	24	det	_	TokenRange=126:132
24	senhor	senhor	NOUN	NOUN	_	20	conj	_	TokenRange=133:139
25-26	da	_	_	_	_	_	_	_	TokenRange=140:142
25	de	de	ADP	ADP	_	27	case	_	_
26	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	27	det	_	_
27	mala	mala	NOUN	NOUN	_	24	nmod	_	TokenRange=143:147
28	uma	um	DET	DET	_	29	det	_	TokenRange=148:151
29	fonte	fonte	NOUN	NOUN	_	32	nsubj	_	TokenRange=152:157
30	de	de	ADP	ADP	_	31	case	_	TokenRange=158:160
31	washington	_	NOUN	NOUN	_	29	nmod	_	TokenRange=161:171
32	questionou	questionar	VERB	VERB	_	1	parataxis	_	TokenRange=172:182
