# generator = UDPipe 2, https://lindat.mff.cuni.cz/services/udpipe
# udpipe_model = portuguese-gsd-ud-2.10-220711
# udpipe_model_licence = CC BY-NC-SA
# newdoc
# newpar
# sent_id = 1
# text = leia e ouca trechos da gravacao entre joesley batista e ricardo saud delacao da jbs esta sob investigacao pgr apura conversas entre delatores que citam um exprocurador para janot ha indicios de omissao de informacoes sobre crimes no acordo de delacao a procuradoria geral da republica pgr investiga novas gravacoes que registraram conversas entre o empresario joesley batista um dos donos do grupo jf e o diretor de relacoes institucionais da empresa ricardo saud os dois sao delatores da lava jato serao apurados indicios
1	leia	ler	VERB	VERB	_	0	root	_	TokenRange=0:4
2	e	e	CCONJ	CONJ	_	3	cc	_	TokenRange=5:6
3	ouca	oucar	VERB	VERB	_	1	conj	_	TokenRange=7:11
4	trechos	trecho	NOUN	NOUN	_	3	obj	_	TokenRange=12:19
5-6	da	_	_	_	_	_	_	_	TokenRange=20:22
5	de	de	ADP	ADP	_	7	case	_	_
6	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	7	det	_	_
7	gravacao	gravacao	NOUN	NOUN	_	4	nmod	_	TokenRange=23:31
8	entre	_	ADP	ADP	_	9	case	_	TokenRange=32:37
9	joesley	_	NOUN	NOUN	_	7	nmod	_	TokenRange=38:45
10	batista	batista	NOUN	NOUN	_	9	flat	_	TokenRange=46:53
11	e	e	CCONJ	CONJ	_	12	cc	_	TokenRange=54:55
12	ricardo	ricardo	NOUN	NOUN	_	9	conj	_	TokenRange=56:63
13	saud	_	ADJ	ADJ	_	12	flat	_	TokenRange=64:68
14	delacao	delacao	NOUN	NOUN	_	18	nsubj	_	TokenRange=69:76
15-16	da	_	_	_	_	_	_	_	TokenRange=77:79
15	de	de	ADP	ADP	_	17	case	_	_
16	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	17	det	_	_
17	jbs	_	NOUN	NOUN	_	14	nmod	_	TokenRange=80:83
18	esta	_	VERB	VERB	_	1	conj	_	TokenRange=84:88
19	sob	_	ADP	ADP	_	20	case	_	TokenRange=89:92
20	investigacao	investigacao	NOUN	NOUN	_	18	nmod	_	TokenRange=93:105
21	pgr	_	NOUN	NOUN	_	22	nsubj	_	TokenRange=106:109
22	apura	apurar	VERB	VERB	_	18	conj	_	TokenRange=110:115
23	conversas	_	NOUN	NOUN	_	22	obj	_	TokenRange=116:125
24	entre	_	ADP	ADP	_	25	case	_	TokenRange=126:131
25	delatores	delator	NOUN	NOUN	_	23	nmod	_	TokenRange=132:141
26	que	_	PRON	PRON	_	27	nsubj	_	TokenRange=142:145
27	citam	citar	VERB	VERB	_	25	acl:relcl	_	TokenRange=146:151
28	um	um	DET	DET	_	29	det	_	TokenRange=152:154
29	exprocurador	exprocurador	NOUN	NOUN	_	27	obj	_	TokenRange=155:167
30	para	para	ADP	ADP	_	31	case	_	TokenRange=168:172
31	janot	_	NOUN	NOUN	_	27	nmod	_	TokenRange=173:178
32	ha	_	VERB	VERB	_	22	conj	_	TokenRange=179:181
33	indicios	indicio	NOUN	NOUN	_	32	obj	_	TokenRange=182:190
34	de	de	ADP	ADP	_	35	case	_	TokenRange=191:193
35	omissao	omissao	NOUN	NOUN	_	33	nmod	_	TokenRange=194:201
36	de	de	ADP	ADP	_	37	case	_	TokenRange=202:204
37	informacoes	informacoe	NOUN	NOUN	_	35	nmod	_	TokenRange=205:216
38	sobre	_	ADP	ADP	_	39	case	_	TokenRange=217:222
39	crimes	crime	NOUN	NOUN	_	37	nmod	_	TokenRange=223:229
40-41	no	_	_	_	_	_	_	_	TokenRange=230:232
40	em	em	ADP	ADP	_	42	case	_	_
41	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	42	det	_	_
42	acordo	acordo	NOUN	NOUN	_	35	nmod	_	TokenRange=233:239
43	de	de	ADP	ADP	_	44	case	_	TokenRange=240:242
44	delacao	delacao	NOUN	NOUN	_	42	nmod	_	TokenRange=243:250
45	a	o	DET	DET	_	46	det	_	TokenRange=251:252
46	procuradoria	procuradoria	NOUN	NOUN	_	52	nsubj	_	TokenRange=253:265
47	geral	geral	ADJ	ADJ	_	46	amod	_	TokenRange=266:271
48-49	da	_	_	_	_	_	_	_	TokenRange=272:274
48	de	de	ADP	ADP	_	50	case	_	_
49	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	50	det	_	_
50	republica	_	NOUN	NOUN	_	46	nmod	_	TokenRange=275:284
51	pgr	_	NOUN	NOUN	_	46	appos	_	TokenRange=285:288
52	investiga	investigar	VERB	VERB	_	1	parataxis	_	TokenRange=289:298
53	novas	novo	ADJ	ADJ	_	54	amod	_	TokenRange=299:304
54	gravacoes	_	NOUN	NOUN	_	52	obj	_	TokenRange=305:314
55	que	_	PRON	PRON	_	56	nsubj	_	TokenRange=315:318
56	registraram	registrar	VERB	VERB	_	54	acl:relcl	_	TokenRange=319:330
57	conversas	_	NOUN	NOUN	_	56	obj	_	TokenRange=331:340
58	entre	_	ADP	ADP	_	60	case	_	TokenRange=341:346
59	o	o	DET	DET	_	60	det	_	TokenRange=347:348
60	empresario	empresario	NOUN	NOUN	_	57	nmod	_	TokenRange=349:359
61	joesley	_	NOUN	NOUN	_	60	appos	_	TokenRange=360:367
62	batista	batista	ADJ	ADJ	_	61	flat	_	TokenRange=368:375
63	um	_	PRON	PRON	_	60	appos	_	TokenRange=376:378
64-65	dos	_	_	_	_	_	_	_	TokenRange=379:382
64	de	de	ADP	ADP	_	66	case	_	_
65	os	o	DET	DET	Definite=Def|Gender=Masc|Number=Plur|PronType=Art	66	det	_	_
66	donos	dono	NOUN	NOUN	_	63	nmod	_	TokenRange=383:388
67-68	do	_	_	_	_	_	_	_	TokenRange=389:391
67	de	de	ADP	ADP	_	69	case	_	_
68	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	69	det	_	_
69	grupo	grupo	NOUN	NOUN	_	66	nmod	_	TokenRange=392:397
70	jf	_	NOUN	NOUN	_	69	appos	_	TokenRange=398:400
71	e	e	CCONJ	CONJ	_	73	cc	_	TokenRange=401:402
72	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	73	det	_	TokenRange=403:404
73	diretor	diretor	NOUN	NOUN	_	60	conj	_	TokenRange=405:412
74	de	de	ADP	ADP	_	75	case	_	TokenRange=413:415
75	relacoes	relacoe	NOUN	NOUN	_	73	nmod	_	TokenRange=416:424
76	institucionais	institucional	ADJ	ADJ	_	75	amod	_	TokenRange=425:439
77-78	da	_	_	_	_	_	_	_	TokenRange=440:442
77	de	de	ADP	ADP	_	79	case	_	_
78	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	79	det	_	_
79	empresa	empresa	NOUN	NOUN	_	73	nmod	_	TokenRange=443:450
80	ricardo	ricardo	NOUN	NOUN	_	79	appos	_	TokenRange=451:458
81	saud	_	PROPN	NOUN	_	80	flat	_	TokenRange=459:463
82	os	o	DET	DET	_	83	det	_	TokenRange=464:466
83	dois	_	NUM	NUM	NumType=Card	85	nsubj	_	TokenRange=467:471
84	sao	_	AUX	AUX	_	85	cop	_	TokenRange=472:475
85	delatores	delator	NOUN	NOUN	_	52	ccomp	_	TokenRange=476:485
86-87	da	_	_	_	_	_	_	_	TokenRange=486:488
86	de	de	ADP	ADP	_	88	case	_	_
87	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	88	det	_	_
88	lava	lava	NOUN	NOUN	_	85	nmod	_	TokenRange=489:493
89	jato	jato	ADV	ADV	_	91	advmod	_	TokenRange=494:498
90	serao	ser	AUX	AUX	_	91	aux:pass	_	TokenRange=499:504
91	apurados	apurar	VERB	VERB	_	85	conj	_	TokenRange=505:513
