# generator = UDPipe 2, https://lindat.mff.cuni.cz/services/udpipe
# udpipe_model = portuguese-gsd-ud-2.10-220711
# udpipe_model_licence = CC BY-NC-SA
# newdoc
# newpar
# sent_id = 1
# text = na contramao da crise camara aprova criacao de 14 mil cargos comissionados e diz passou sem querer em meio a crise economica e politica que avassala o pais a camara dos deputados deciciu dar uma maozinha amiga nobres parlamentares permitiram a criacao de mais de 14 mil cargos federais comissionados usando o argumento de que passou sem que fosse percebido ao assumir a presidencia o governo interino de michel temer prometeu a extincao de mais 4 mil cargos ate o fim deste ano a criacao de cargos passou junto com projeto de lei que aprovou aumento aos servidores da suframa e o aumento vai demandar um impacto de 58 bilhoes nos cofres publicos
1-2	na	_	_	_	_	_	_	_	TokenRange=0:2
1	em	em	ADP	ADP	_	3	case	_	_
2	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	3	det	_	_
3	contramao	contramao	NOUN	NOUN	_	8	nmod	_	TokenRange=3:12
4-5	da	_	_	_	_	_	_	_	TokenRange=13:15
4	de	de	ADP	ADP	_	6	case	_	_
5	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	6	det	_	_
6	crise	crise	NOUN	NOUN	_	3	nmod	_	TokenRange=16:21
7	camara	camara	NOUN	NOUN	_	8	nsubj	_	TokenRange=22:28
8	aprova	aprovar	VERB	VERB	_	0	root	_	TokenRange=29:35
9	criacao	criacao	NOUN	NOUN	_	8	obj	_	TokenRange=36:43
10	de	de	ADP	ADP	_	13	case	_	TokenRange=44:46
11	14	_	NUM	NUM	NumType=Card	12	nummod	_	TokenRange=47:49
12	mil	_	NUM	NUM	NumType=Card	13	nummod	_	TokenRange=50:53
13	cargos	cargo	NOUN	NOUN	_	9	nmod	_	TokenRange=54:60
14	comissionados	comissionado	ADJ	ADJ	_	13	amod	_	TokenRange=61:74
15	e	e	CCONJ	CONJ	_	16	cc	_	TokenRange=75:76
16	diz	dizer	VERB	VERB	_	8	conj	_	TokenRange=77:80
17	passou	passar	VERB	VERB	_	16	ccomp	_	TokenRange=81:87
18	sem	_	ADP	ADP	_	19	mark	_	TokenRange=88:91
19	querer	querer	VERB	VERB	_	17	advcl	_	TokenRange=92:98
20	em	em	ADP	ADP	_	21	case	_	TokenRange=99:101
21	meio	meio	NOUN	NOUN	_	19	nmod	_	TokenRange=102:106
22	a	o	DET	DET	_	23	det	_	TokenRange=107:108
23	crise	crise	NOUN	NOUN	_	21	nmod	_	TokenRange=109:114
24	economica	economico	ADJ	ADJ	_	23	amod	_	TokenRange=115:124
25	e	e	CCONJ	CONJ	_	26	cc	_	TokenRange=125:126
26	politica	politico	ADJ	ADJ	_	24	conj	_	TokenRange=127:135
27	que	_	PRON	PRON	_	28	nsubj	_	TokenRange=136:139
28	avassala	avassalar	VERB	VERB	_	23	acl:relcl	_	TokenRange=140:148
29	o	o	DET	DET	_	30	det	_	TokenRange=149:150
30	pais	_	NOUN	NOUN	_	28	obj	_	TokenRange=151:155
31	a	o	DET	DET	_	32	det	_	TokenRange=156:157
32	camara	camara	NOUN	NOUN	_	36	nsubj	_	TokenRange=158:164
33-34	dos	_	_	_	_	_	_	_	TokenRange=165:168
33	de	de	ADP	ADP	_	35	case	_	_
