# generator = UDPipe 2, https://lindat.mff.cuni.cz/services/udpipe
# udpipe_model = portuguese-gsd-ud-2.10-220711
# udpipe_model_licence = CC BY-NC-SA
# newdoc
# newpar
# sent_id = 1
# text = ex luiza brunet ouvido audiencia caso acusado agressao lirio parisotto acusado duas lesoes corporais contra modelo 2015 2016 outras duas testemunhas faltaram audiencia ano passado prestaram depoimento forum barra funda empresario lirio parisotto ouvido nesta segundafeira 13 forum criminal barra funda zona oeste paulo nova audiencia caso julgado acusacao agredir exmulher atriz luiza brunet parisotto quis falar imprensa segunda audiencia instrucao durou cerca duas horas alem empresario prestaram depoimento perito mulher presenciou viagem casal exterior advogado parisotto celso vilardi comentou depoimento empresario versao nunca mentiu versao harmonica disse questiona provas apresentadas acusacao hora atestado medico fala fratura dedo agora acusacao juntou email fala rompimento
1	ex	_	PART	PRT	_	22	nsubj	_	TokenRange=0:2
2	luiza	_	NOUN	NOUN	_	1	flat	_	TokenRange=3:8
3	brunet	_	NOUN	NOUN	_	1	flat	_	TokenRange=9:15
4	ouvido	ouvir	VERB	VERB	_	1	acl	_	TokenRange=16:22
5	audiencia	audiencia	NOUN	NOUN	_	4	obj	_	TokenRange=23:32
6	caso	caso	NOUN	NOUN	_	4	nsubj	_	TokenRange=33:37
7	acusado	acusar	VERB	VERB	_	1	acl	_	TokenRange=38:45
8	agressao	agressao	NOUN	NOUN	_	7	obj	_	TokenRange=46:54
9	lirio	lirio	ADJ	NOUN	_	8	amod	_	TokenRange=55:60
10	parisotto	parisotto	NOUN	NOUN	_	9	flat	_	TokenRange=61:70
11	acusado	acusar	VERB	VERB	_	1	acl	_	TokenRange=71:78
12	duas	_	NUM	NUM	NumType=Card	13	nummod	_	TokenRange=79:83
13	lesoes	lesoe	NOUN	NOUN	_	11	obj	_	TokenRange=84:90
14	corporais	corporal	ADJ	ADJ	_	13	amod	_	TokenRange=91:100
15	contra	_	ADP	ADP	_	16	case	_	TokenRange=101:107
16	modelo	modelo	NOUN	NOUN	_	13	nmod	_	TokenRange=108:114
17	2015	_	NUM	NUM	NumType=Card	16	nmod	_	TokenRange=115:119
18	2016	_	NUM	NUM	NumType=Card	16	nmod	_	TokenRange=120:124
19	outras	_	DET	DET	_	21	det	_	TokenRange=125:131
20	duas	_	NUM	NUM	NumType=Card	21	nummod	_	TokenRange=132:136
21	testemunhas	testemunha	NOUN	NOUN	_	22	nsubj	_	TokenRange=137:148
22	faltaram	faltar	VERB	VERB	_	0	root	_	TokenRange=149:157
23	audiencia	audiencia	NOUN	NOUN	_	22	obj	_	TokenRange=158:167
24	ano	ano	NOUN	NOUN	_	26	nmod	_	TokenRange=168:171
25	passado	passado	ADJ	ADJ	_	24	amod	_	TokenRange=172:179
26	prestaram	prestar	VERB	VERB	_	22	parataxis	_	TokenRange=180:189
27	depoimento	depoimento	NOUN	NOUN	_	26	obj	_	TokenRange=190:200
28	forum	forum	NOUN	NOUN	_	27	appos	_	TokenRange=201:206
29	barra	barra	NOUN	NOUN	_	27	appos	_	TokenRange=207:212
30	funda	fundo	ADJ	ADJ	_	29	amod	_	TokenRange=213:218
31	empresario	empresario	NOUN	NOUN	_	27	appos	_	TokenRange=219:229
32	lirio	lirio	ADJ	ADJ	_	31	amod	_	TokenRange=230:235
33	parisotto	parisotto	NOUN	NOUN	_	31	amod	_	TokenRange=236:245
34	ouvido	ouvir	VERB	VERB	_	31	acl	_	TokenRange=246:252
35	nesta	_	ADP	ADP	_	36	case	_	TokenRange=253:258
36	segundafeira	_	NOUN	NOUN	_	34	nmod	_	TokenRange=259:271
37	13	_	NUM	NUM	NumType=Card	38	nummod	_	TokenRange=272:274
38	forum	forum	NOUN	NOUN	_	36	appos	_	TokenRange=275:280
39	criminal	criminal	ADJ	ADJ	_	38	amod	_	TokenRange=281:289
40	barra	barra	NOUN	NOUN	_	38	appos	_	TokenRange=290:295
41	funda	fundo	ADJ	ADJ	_	40	amod	_	TokenRange=296:301
42	zona	zona	NOUN	NOUN	_	38	appos	_	TokenRange=302:306
43	oeste	oeste	ADJ	ADJ	_	42	amod	_	TokenRange=307:312
44	paulo	paulo	NOUN	NOUN	_	42	appos	_	TokenRange=313:318
45	nova	novo	ADJ	ADJ	_	46	amod	_	TokenRange=319:323
46	audiencia	audiencia	NOUN	NOUN	_	42	appos	_	TokenRange=324:333
47	caso	caso	NOUN	NOUN	_	46	appos	_	TokenRange=334:338
48	julgado	julgar	VERB	VERB	_	46	acl	_	TokenRange=339:346
49	acusacao	acusacao	NOUN	NOUN	_	48	nsubj	_	TokenRange=347:355
50	agredir	agredir	VERB	VERB	_	49	acl:inf	_	TokenRange=356:363
51	exmulher	exmulher	NOUN	NOUN	_	50	obj	_	TokenRange=364:372
52	atriz	_	NOUN	NOUN	_	50	obj	_	TokenRange=373:378
53	luiza	_	NOUN	NOUN	_	52	appos	_	TokenRange=379:384
54	brunet	_	NOUN	NOUN	_	53	flat	_	TokenRange=385:391
55	parisotto	parisotto	NOUN	NOUN	_	53	flat	_	TokenRange=392:401
56	quis	querer	VERB	VERB	_	52	acl:relcl	_	TokenRange=402:406
57	falar	falar	VERB	VERB	_	56	xcomp	_	TokenRange=407:412
58	imprensa	imprensa	NOUN	NOUN	_	57	obj	_	TokenRange=413:421
59	segunda	segundo	ADJ	ADJ	_	60	amod	_	TokenRange=422:429
60	audiencia	audiencia	NOUN	NOUN	_	62	nsubj	_	TokenRange=430:439
61	instrucao	instrucao	NOUN	NOUN	_	60	appos	_	TokenRange=440:449
62	durou	durar	VERB	VERB	_	22	parataxis	_	TokenRange=450:455
63	cerca	cerca	ADV	ADV	_	64	advmod	_	TokenRange=456:461
64	duas	_	NUM	NUM	NumType=Card	65	nummod	_	TokenRange=462:466
65	horas	hora	NOUN	NOUN	_	62	nmod	_	TokenRange=467:472
66	alem	_	ADV	ADV	_	68	advmod	_	TokenRange=473:477
67	empresario	empresario	NOUN	NOUN	_	68	nsubj	_	TokenRange=478:488
68	prestaram	prestar	VERB	VERB	_	62	conj	_	TokenRange=489:498
69	depoimento	depoimento	NOUN	NOUN	_	68	obj	_	TokenRange=499:509
70	perito	perito	ADJ	ADJ	_	69	amod	_	TokenRange=510:516
71	mulher	mulher	NOUN	NOUN	_	72	nsubj	_	TokenRange=517:523
72	presenciou	presenciar	VERB	VERB	_	69	acl:relcl	_	TokenRange=524:534
73	viagem	viagem	NOUN	NOUN	_	72	obj	_	TokenRange=535:541
74	casal	casal	NOUN	NOUN	_	73	appos	_	TokenRange=542:547
75	exterior	exterior	ADJ	ADJ	_	76	amod	_	TokenRange=548:556
76	advogado	advogado	NOUN	NOUN	_	72	nsubj	_	TokenRange=557:565
77	parisotto	parisotto	ADJ	ADJ	_	76	amod	_	TokenRange=566:575
78	celso	_	ADJ	ADJ	_	76	amod	_	TokenRange=576:581
79	vilardi	_	NOUN	NOUN	_	76	amod	_	TokenRange=582:589
80	comentou	comentar	VERB	VERB	_	72	conj	_	TokenRange=590:598
81	depoimento	depoimento	NOUN	NOUN	_	80	obj	_	TokenRange=599:609
82	empresario	empresario	ADJ	ADJ	_	81	amod	_	TokenRange=610:620
83	versao	versao	NOUN	NOUN	_	80	nsubj	_	TokenRange=621:627
84	nunca	nunca	ADV	ADV	_	85	advmod	_	TokenRange=628:633
85	mentiu	mentir	VERB	VERB	_	81	acl:relcl	_	TokenRange=634:640
86	versao	versao	NOUN	NOUN	_	85	obj	_	TokenRange=641:647
87	harmonica	harmonico	ADJ	ADJ	_	86	amod	_	TokenRange=648:657
88	disse	dizer	VERB	VERB	_	80	parataxis	_	TokenRange=658:663
89	questiona	questionar	VERB	VERB	_	88	ccomp	_	TokenRange=664:673
90	provas	prova	NOUN	NOUN	_	89	obj	_	TokenRange=674:680
91	apresentadas	apresentar	VERB	VERB	_	90	acl	_	TokenRange=681:693
92	acusacao	acusacao	NOUN	NOUN	_	91	nsubj	_	TokenRange=694:702
93	hora	hora	NOUN	NOUN	_	91	nsubj	_	TokenRange=703:707
94	atestado	atestado	ADJ	ADJ	_	93	amod	_	TokenRange=708:716
95	medico	medico	NOUN	NOUN	_	96	nsubj	_	TokenRange=717:723
96	fala	_	VERB	VERB	_	93	acl:relcl	_	TokenRange=724:728
97	fratura	fratura	NOUN	NOUN	_	96	obj	_	TokenRange=729:736
