# generator = UDPipe 2, https://lindat.mff.cuni.cz/services/udpipe
# udpipe_model = portuguese-gsd-ud-2.10-220711
# udpipe_model_licence = CC BY-NC-SA
# newdoc
# newpar
# sent_id = 1
# text = cinco dias apos assumir pgr equipe raquel dodge primeiro escandalo equipe jornal folha sp flagrou membro equipe nova procuradora geral raquel dodge vazando informacoes advogada trabalhou jbs fernanda tortima advogada almocando procurador sidney pessoa madruga restaurante taypa brasilia tudo correndo bem almoco jornalistas folha almocavam mesa lado flagraram toda conversa procurador vazou informacoes sigilosas disse advogada tendencia pgr investigar exchefe gabinete rodrigo janot adversario dodge dodge focando trabalho janot inves investigar politicos corruptos comando pais trocando miudos prova nova pgr pode estar trabalhando exclusivamente sr michel reportagem saiu manha periodo tarde exoneracao procurador madruga anunciada
1	cinco	_	NUM	NUM	NumType=Card	2	nummod	_	TokenRange=0:5
2	dias	dia	NOUN	NOUN	_	15	nmod	_	TokenRange=6:10
3	apos	_	ADP	ADP	_	4	mark	_	TokenRange=11:15
4	assumir	assumir	VERB	VERB	_	15	advcl	_	TokenRange=16:23
5	pgr	_	NOUN	NOUN	_	4	obj	_	TokenRange=24:27
6	equipe	equipe	NOUN	NOUN	_	4	obj	_	TokenRange=28:34
7	raquel	_	NOUN	NOUN	_	6	appos	_	TokenRange=35:41
8	dodge	_	NOUN	NOUN	_	7	flat	_	TokenRange=42:47
9	primeiro	primeiro	ADJ	ADJ	_	10	amod	_	TokenRange=48:56
10	escandalo	escandalo	NOUN	NOUN	_	4	obj	_	TokenRange=57:66
11	equipe	equipe	NOUN	NOUN	_	15	nsubj	_	TokenRange=67:73
12	jornal	jornal	NOUN	NOUN	_	15	nsubj	_	TokenRange=74:80
13	folha	folha	NOUN	NOUN	_	12	flat	_	TokenRange=81:86
14	sp	_	ADJ	ADJ	_	12	amod	_	TokenRange=87:89
15	flagrou	flagrar	VERB	VERB	_	0	root	_	TokenRange=90:97
16	membro	membro	NOUN	NOUN	_	15	obj	_	TokenRange=98:104
17	equipe	equipe	NOUN	NOUN	_	16	flat	_	TokenRange=105:111
18	nova	novo	ADJ	ADJ	_	19	amod	_	TokenRange=112:116
19	procuradora	procurador	NOUN	NOUN	_	16	appos	_	TokenRange=117:128
20	geral	geral	ADJ	ADJ	_	19	amod	_	TokenRange=129:134
21	raquel	raquel	NOUN	NOUN	_	15	nsubj	_	TokenRange=135:141
22	dodge	_	NOUN	NOUN	_	21	flat	_	TokenRange=142:147
23	vazando	vazar	VERB	VERB	_	12	acl	_	TokenRange=148:155
24	informacoes	informacoe	NOUN	NOUN	_	23	obj	_	TokenRange=156:167
25	advogada	advogado	ADJ	NOUN	_	24	amod	_	TokenRange=168:176
26	trabalhou	trabalhar	VERB	VERB	_	15	parataxis	_	TokenRange=177:186
27	jbs	_	NOUN	NOUN	_	26	obj	_	TokenRange=187:190
28	fernanda	fernanda	NOUN	NOUN	_	27	flat	_	TokenRange=191:199
29	tortima	_	NOUN	NOUN	_	27	amod	_	TokenRange=200:207
30	advogada	advogado	NOUN	NOUN	_	27	appos	_	TokenRange=208:216
31	almocando	almocar	VERB	VERB	_	27	appos	_	TokenRange=217:226
32	procurador	procurador	NOUN	NOUN	_	31	obj	_	TokenRange=227:237
33	sidney	sidney	NOUN	NOUN	_	32	appos	_	TokenRange=238:244
34	pessoa	pessoa	NOUN	NOUN	_	32	appos	_	TokenRange=245:251
35	madruga	madruga	NOUN	NOUN	_	32	appos	_	TokenRange=252:259
36	restaurante	restaurante	NOUN	NOUN	_	35	appos	_	TokenRange=260:271
37	taypa	_	NOUN	NOUN	_	36	appos	_	TokenRange=272:277
38	brasilia	_	NOUN	NOUN	_	37	flat	_	TokenRange=278:286
39	tudo	_	PRON	PRON	_	40	nsubj	_	TokenRange=287:291
40	correndo	correr	VERB	VERB	_	36	acl	_	TokenRange=292:300
41	bem	bem	ADV	ADV	_	40	advmod	_	TokenRange=301:304
42	almoco	almoco	ADV	ADV	_	40	advmod	_	TokenRange=305:311
43	jornalistas	jornalista	NOUN	NOUN	_	45	nsubj	_	TokenRange=312:323
44	folha	folha	NOUN	NOUN	_	43	flat	_	TokenRange=324:329
