# generator = UDPipe 2, https://lindat.mff.cuni.cz/services/udpipe
# udpipe_model = portuguese-gsd-ud-2.10-220711
# udpipe_model_licence = CC BY-NC-SA
# newdoc
# newpar
# sent_id = 1
# text = veja e leia a integra do pronunciamento de temer sobre a denuncia da pgr em discurso no planalto presidente se disse vitima de infamia de natureza politica ele foi denunciado pela pgr pelo crime de corrupcao passiva com base nas delacoes da jbs assista no video acima e leia abaixo a integra do pronunciamento do presidente michel temer desta tercafeira 27 sobre a denuncia oferecida pela procuradoriageral da republica especial g1 temer na mira da justica no discurso no palacio do planalto o presidente se disse vitima de infamia de natureza politica e cobrou provas robustas contra ele alem de afirmar que foi criada uma nova categoria no codigo penal a denuncia por ilacao nesta segunda 26 temer foi denunciado pelo procuradorgeral da republica rodrigo janot pelo crime de corrupcao passiva com base nas delacoes da jbs leia abaixo a integra do pronunciamento do presidente divulgada pela assessoria declaracao a imprensa do presidente michel temer se eu fosse presidente da camara dos deputados eu faria uma sessao pois temos quorum eu quero agradecer muitissimo a proposito a presenca dos colegas senadores colegas deputados senhores ministros foi ate um aviso de ultima hora eu estou agradavelmente surpreso com este apoio extremamente espontaneo quero agradecer muito aos senhores e as senhoras e o meu objetivo aqui agora me dirijo mais uma vez cumprimentando a imprensa toda a imprensa brasileira nao sei se ha internacional tambem mas eu quero me dirigir a imprensa para salientar preambularmente preliminarmente que eu me sinto no dever de fazer esta declaracao nao vou chamala de pronunciamento acho que e um pouco pretensioso mas e uma declaracao de alguma maneira esclarecedora
1	veja	ver	VERB	VERB	_	0	root	_	TokenRange=0:4
2	e	e	CCONJ	CONJ	_	3	cc	_	TokenRange=5:6
3	leia	ler	VERB	VERB	_	1	conj	_	TokenRange=7:11
4	a	o	DET	DET	_	5	det	_	TokenRange=12:13
5	integra	integra	NOUN	NOUN	_	3	obj	_	TokenRange=14:21
6-7	do	_	_	_	_	_	_	_	TokenRange=22:24
6	de	de	ADP	ADP	_	8	case	_	_
7	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	8	det	_	_
8	pronunciamento	pronunciamento	NOUN	NOUN	_	5	nmod	_	TokenRange=25:39
9	de	de	ADP	ADP	_	10	case	_	TokenRange=40:42
10	temer	temer	NOUN	NOUN	_	8	nmod	_	TokenRange=43:48
11	sobre	_	ADP	ADP	_	13	case	_	TokenRange=49:54
12	a	o	DET	DET	_	13	det	_	TokenRange=55:56
13	denuncia	denuncia	NOUN	NOUN	_	5	nmod	_	TokenRange=57:65
14-15	da	_	_	_	_	_	_	_	TokenRange=66:68
14	de	de	ADP	ADP	_	16	case	_	_
15	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	16	det	_	_
16	pgr	pgr	NOUN	NOUN	_	13	nmod	_	TokenRange=69:72
17	em	em	ADP	ADP	_	18	case	_	TokenRange=73:75
18	discurso	discurso	NOUN	NOUN	_	13	nmod	_	TokenRange=76:84
19-20	no	_	_	_	_	_	_	_	TokenRange=85:87
19	em	em	ADP	ADP	_	21	case	_	_
20	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	21	det	_	_
21	planalto	planalto	NOUN	NOUN	_	18	nmod	_	TokenRange=88:96
22	presidente	presidente	NOUN	NOUN	_	24	nsubj	_	TokenRange=97:107
23	se	_	PRON	PRON	_	24	expl:pv	_	TokenRange=108:110
24	disse	dizer	VERB	VERB	_	1	ccomp	_	TokenRange=111:116
25	vitima	vitima	NOUN	NOUN	_	24	xcomp	_	TokenRange=117:123
26	de	de	ADP	ADP	_	27	case	_	TokenRange=124:126
27	infamia	infamia	NOUN	NOUN	_	25	nmod	_	TokenRange=127:134
28	de	de	ADP	ADP	_	29	case	_	TokenRange=135:137
29	natureza	natureza	NOUN	NOUN	_	27	nmod	_	TokenRange=138:146
30	politica	politico	ADJ	ADJ	_	29	amod	_	TokenRange=147:155
31	ele	_	PRON	PRON	_	33	nsubj:pass	_	TokenRange=156:159
32	foi	_	AUX	AUX	_	33	aux:pass	_	TokenRange=160:163
33	denunciado	denunciar	VERB	VERB	_	1	ccomp	_	TokenRange=164:174
34-35	pela	_	_	_	_	_	_	_	TokenRange=175:179
34	por	por	ADP	ADP	_	36	case	_	_
35	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	36	det	_	_
36	pgr	pgr	NOUN	NOUN	_	33	nmod	_	TokenRange=180:183
37-38	pelo	_	_	_	_	_	_	_	TokenRange=184:188
37	por	por	ADP	ADP	_	39	case	_	_
38	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	39	det	_	_
39	crime	crime	NOUN	NOUN	_	33	nmod	_	TokenRange=189:194
40	de	de	ADP	ADP	_	41	case	_	TokenRange=195:197
41	corrupcao	corrupcao	NOUN	NOUN	_	39	nmod	_	TokenRange=198:207
42	passiva	passivo	ADJ	ADJ	_	41	amod	_	TokenRange=208:215
43	com	com	ADP	ADP	_	44	case	_	TokenRange=216:219
44	base	base	NOUN	NOUN	_	33	nmod	_	TokenRange=220:224
45-46	nas	_	_	_	_	_	_	_	TokenRange=225:228
45	em	em	ADP	ADP	_	47	case	_	_
46	as	o	DET	DET	Definite=Def|Gender=Fem|Number=Plur|PronType=Art	47	det	_	_
47	delacoes	delacoe	NOUN	NOUN	_	44	nmod	_	TokenRange=229:237
48-49	da	_	_	_	_	_	_	_	TokenRange=238:240
48	de	de	ADP	ADP	_	50	case	_	_
49	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	50	det	_	_
50	jbs	_	NOUN	NOUN	_	47	nmod	_	TokenRange=241:244
51	assista	assistir	VERB	VERB	_	1	parataxis	_	TokenRange=245:252
52-53	no	_	_	_	_	_	_	_	TokenRange=253:255
52	em	em	ADP	ADP	_	54	case	_	_
53	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	54	det	_	_
54	video	video	NOUN	NOUN	_	51	nmod	_	TokenRange=256:261
55	acima	acima	ADV	ADV	_	54	advmod	_	TokenRange=262:267
56	e	e	CCONJ	CONJ	_	57	cc	_	TokenRange=268:269
57	leia	ler	VERB	VERB	_	51	conj	_	TokenRange=270:274
58	abaixo	abaixo	ADV	ADV	_	57	advmod	_	TokenRange=275:281
59	a	o	DET	DET	_	60	det	_	TokenRange=282:283
60	integra	integra	NOUN	NOUN	_	57	obj	_	TokenRange=284:291
61-62	do	_	_	_	_	_	_	_	TokenRange=292:294
61	de	de	ADP	ADP	_	63	case	_	_
62	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	63	det	_	_
63	pronunciamento	pronunciamento	NOUN	NOUN	_	60	nmod	_	TokenRange=295:309
64-65	do	_	_	_	_	_	_	_	TokenRange=310:312
64	de	de	ADP	ADP	_	66	case	_	_
65	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	66	det	_	_
66	presidente	presidente	NOUN	NOUN	_	63	nmod	_	TokenRange=313:323
67	michel	michel	ADJ	ADJ	_	66	appos	_	TokenRange=324:330
68	temer	temer	NOUN	NOUN	_	66	flat	_	TokenRange=331:336
69	desta	_	ADP	ADP	_	70	case	_	TokenRange=337:342
70	tercafeira	_	NOUN	NOUN	_	63	nmod	_	TokenRange=343:353
71	27	_	NUM	NUM	NumType=Card	70	appos	_	TokenRange=354:356
72	sobre	_	ADP	ADP	_	74	case	_	TokenRange=357:362
73	a	o	DET	DET	_	74	det	_	TokenRange=363:364
74	denuncia	denuncia	NOUN	NOUN	_	164	nmod	_	TokenRange=365:373
75	oferecida	oferecer	VERB	VERB	_	74	acl	_	TokenRange=374:383
76-77	pela	_	_	_	_	_	_	_	TokenRange=384:388
76	por	por	ADP	ADP	_	78	case	_	_
77	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	78	det	_	_
78	procuradoriageral	procuradoriageral	NOUN	NOUN	_	75	nmod	_	TokenRange=389:406
79-80	da	_	_	_	_	_	_	_	TokenRange=407:409
79	de	de	ADP	ADP	_	81	case	_	_
80	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	81	det	_	_
81	republica	_	NOUN	NOUN	_	78	nmod	_	TokenRange=410:419
82	especial	especial	ADJ	ADJ	_	81	amod	_	TokenRange=420:428
83	g1	_	NUM	PNOUN	_	75	nsubj:pass	_	TokenRange=429:431
84	temer	temer	NOUN	NOUN	_	83	flat	_	TokenRange=432:437
85-86	na	_	_	_	_	_	_	_	TokenRange=438:440
85	em	em	ADP	ADP	_	87	case	_	_
86	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	87	det	_	_
87	mira	mira	NOUN	NOUN	_	75	nmod	_	TokenRange=441:445
88-89	da	_	_	_	_	_	_	_	TokenRange=446:448
88	de	de	ADP	ADP	_	90	case	_	_
89	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	90	det	_	_
90	justica	_	NOUN	NOUN	_	87	nmod	_	TokenRange=449:456
91-92	no	_	_	_	_	_	_	_	TokenRange=457:459
91	em	em	ADP	ADP	_	93	case	_	_
92	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	93	det	_	_
