# generator = UDPipe 2, https://lindat.mff.cuni.cz/services/udpipe
# udpipe_model = portuguese-gsd-ud-2.10-220711
# udpipe_model_licence = CC BY-NC-SA
# newdoc
# newpar
# sent_id = 1
# text = eua confirmam novo lancamento missil coreia norte trump teste mostra desrespeito principal aliada nortecoreana china nono lancamento feito 2017 testa relacoes novo presidente coreia sul moon jaein estados unidos confirmaram neste domingo 28 coreia norte lancou outro missil balistico seguiu trajetoria durante seis minutos aterrissar mar japao governo reiterou comprometimento seguranca aliados toquio seul segundo agencia efe presidente americano donald trump informado logo apos lancamento disse twitter coreia norte mostrou desrespeito principal
1	eua	_	PRON	PRON	_	2	nsubj	_	TokenRange=0:3
2	confirmam	confirmar	VERB	VERB	_	0	root	_	TokenRange=4:13
3	novo	novo	ADJ	ADJ	_	4	amod	_	TokenRange=14:18
4	lancamento	lancamento	NOUN	NOUN	_	2	obj	_	TokenRange=19:29
5	missil	missil	NOUN	NOUN	_	4	amod	_	TokenRange=30:36
6	coreia	coreia	NOUN	NOUN	_	2	obj	_	TokenRange=37:43
7	norte	norte	ADJ	ADJ	_	6	amod	_	TokenRange=44:49
8	trump	_	NOUN	NOUN	_	6	amod	_	TokenRange=50:55
9	teste	teste	NOUN	NOUN	_	10	nsubj	_	TokenRange=56:61
10	mostra	mostrar	VERB	VERB	_	2	parataxis	_	TokenRange=62:68
11	desrespeito	desrespeito	NOUN	NOUN	_	10	obj	_	TokenRange=69:80
12	principal	principal	ADJ	ADJ	_	11	amod	_	TokenRange=81:90
13	aliada	aliado	NOUN	NOUN	_	11	appos	_	TokenRange=91:97
14	nortecoreana	nortecoreano	ADJ	ADJ	_	13	amod	_	TokenRange=98:110
15	china	chino	ADJ	ADJ	_	13	amod	_	TokenRange=111:116
16	nono	nono	ADJ	ADJ	_	17	amod	_	TokenRange=117:121
17	lancamento	lancamento	NOUN	NOUN	_	13	appos	_	TokenRange=122:132
18	feito	_	VERB	VERB	_	17	acl	_	TokenRange=133:138
19	2017	_	NUM	NUM	NumType=Card	18	nmod	_	TokenRange=139:143
20	testa	testar	VERB	VERB	_	2	parataxis	_	TokenRange=144:149
21	relacoes	relacoe	NOUN	NOUN	_	20	obj	_	TokenRange=150:158
22	novo	novo	ADJ	ADJ	_	23	amod	_	TokenRange=159:163
23	presidente	presidente	NOUN	NOUN	_	20	nsubj	_	TokenRange=164:174
24	coreia	coreia	NOUN	NOUN	_	23	appos	_	TokenRange=175:181
25	sul	sul	ADJ	ADJ	_	24	amod	_	TokenRange=182:185
26	moon	_	NOUN	NOUN	_	23	appos	_	TokenRange=186:190
27	jaein	_	NOUN	NOUN	_	26	flat	_	TokenRange=191:196
28	estados	estado	NOUN	NOUN	_	26	appos	_	TokenRange=197:204
29	unidos	unido	ADJ	ADJ	_	28	amod	_	TokenRange=205:211
30	confirmaram	confirmar	VERB	VERB	_	2	parataxis	_	TokenRange=212:223
31	neste	_	ADP	ADP	_	32	case	_	TokenRange=224:229
32	domingo	_	PROPN	PNOUN	_	30	nmod	_	TokenRange=230:237
33	28	_	NUM	NUM	NumType=Card	34	nummod	_	TokenRange=238:240
34	coreia	coreia	NOUN	NOUN	_	36	nsubj	_	TokenRange=241:247
35	norte	norte	ADJ	ADJ	_	34	amod	_	TokenRange=248:253
36	lancou	lancar	VERB	VERB	_	30	ccomp	_	TokenRange=254:260
37	outro	_	DET	DET	_	38	det	_	TokenRange=261:266
38	missil	missil	NOUN	NOUN	_	36	obj	_	TokenRange=267:273
39	balistico	balistico	ADJ	ADJ	_	38	amod	_	TokenRange=274:283
40	seguiu	seguir	VERB	VERB	_	30	ccomp	_	TokenRange=284:290
41	trajetoria	trajetoria	NOUN	NOUN	_	40	obj	_	TokenRange=291:301
42	durante	_	ADP	ADP	_	44	case	_	TokenRange=302:309
43	seis	_	NUM	NUM	NumType=Card	44	nummod	_	TokenRange=310:314
44	minutos	minuto	NOUN	NOUN	_	40	nmod	_	TokenRange=315:322
45	aterrissar	aterrissar	VERB	VERB	_	40	advcl	_	TokenRange=323:333
46	mar	mar	NOUN	NOUN	_	45	nmod	_	TokenRange=334:337
47	japao	japao	ADJ	NOUN	_	49	nsubj	_	TokenRange=338:343
48	governo	governo	NOUN	NOUN	_	49	nsubj	_	TokenRange=344:351
49	reiterou	reiterar	VERB	VERB	_	40	conj	_	TokenRange=352:360
50	comprometimento	comprometimento	NOUN	NOUN	_	49	obj	_	TokenRange=361:376
51	seguranca	_	ADJ	ADJ	_	50	amod	_	TokenRange=377:386
52	aliados	aliado	NOUN	NOUN	_	50	amod	_	TokenRange=387:394
53	toquio	toquio	NOUN	NOUN	_	50	appos	_	TokenRange=395:401
54	seul	_	NOUN	NOUN	_	53	flat	_	TokenRange=402:406
55	segundo	_	ADP	ADP	_	56	case	_	TokenRange=407:414
56	agencia	agencia	NOUN	NOUN	_	49	nmod	_	TokenRange=415:422
57	efe	_	NOUN	NOUN	_	56	appos	_	TokenRange=423:426
58	presidente	presidente	NOUN	NOUN	_	56	appos	_	TokenRange=427:437
59	americano	americano	ADJ	ADJ	_	58	amod	_	TokenRange=438:447
60	donald	donald	NOUN	NOUN	_	58	appos	_	TokenRange=448:454
61	trump	_	NOUN	NOUN	_	60	flat	_	TokenRange=455:460
62	informado	informar	VERB	VERB	_	58	acl	_	TokenRange=461:470
63	logo	logo	ADV	ADV	_	65	advmod	_	TokenRange=471:475
64	apos	_	ADP	ADP	_	65	case	_	TokenRange=476:480
65	lancamento	lancamento	NOUN	NOUN	_	62	nmod	_	TokenRange=481:491
66	disse	dizer	VERB	VERB	_	49	parataxis	_	TokenRange=492:497
67	twitter	_	PROPN	PNOUN	_	70	nsubj	_	TokenRange=498:505
68	coreia	coreia	NOUN	NOUN	_	70	nsubj	_	TokenRange=506:512
69	norte	norte	ADJ	ADJ	_	68	amod	_	TokenRange=513:518
70	mostrou	mostrar	VERB	VERB	_	66	ccomp	_	TokenRange=519:526
71	desrespeito	desrespeito	NOUN	NOUN	_	70	obj	_	TokenRange=527:538
72	principal	principal	ADJ	ADJ	_	71	amod	_	SpaceAfter=No|TokenRange=539:548

