# generator = UDPipe 2, https://lindat.mff.cuni.cz/services/udpipe
# udpipe_model = portuguese-gsd-ud-2.10-220711
# udpipe_model_licence = CC BY-NC-SA
# newdoc
# newpar
# sent_id = 1
# text = mas como assim palestra de lula na etiopia abordaria o tema corrupcao a palestra do expresidente que estava marcada para amanha 27 era parte de uma serie de atividades que compoem o encontro anual da uniao africana ele abordaria o tema vencendo a luta contra a corrupcao os advogados do expresidente lula ja foram notificados da decisao do juiz federal ricardo leite da 10 vara do distrito federal que decidiu reter o passaporte do condenado fato que o impede de deixar o brasil a decisao faz parte de um processo sigiloso que investiga se houve corrupcao na compra de cacas da suecia pelas forcas armadas brasileiras
1	mas	mas	CCONJ	CONJ	_	26	cc	_	TokenRange=0:3
2	como	_	CCONJ	CONJ	_	10	mark	_	TokenRange=4:8
3	assim	assim	ADV	ADV	_	10	advmod	_	TokenRange=9:14
4	palestra	palestra	NOUN	NOUN	_	10	nsubj	_	TokenRange=15:23
5	de	de	ADP	ADP	_	6	case	_	TokenRange=24:26
6	lula	lula	NOUN	NOUN	_	4	nmod	_	TokenRange=27:31
7-8	na	_	_	_	_	_	_	_	TokenRange=32:34
7	em	em	ADP	ADP	_	9	case	_	_
8	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	9	det	_	_
9	etiopia	etiopia	NOUN	NOUN	_	4	nmod	_	TokenRange=35:42
10	abordaria	abordar	VERB	VERB	_	26	advcl	_	TokenRange=43:52
11	o	o	DET	DET	_	12	det	_	TokenRange=53:54
12	tema	tema	NOUN	NOUN	_	10	obj	_	TokenRange=55:59
13	corrupcao	corrupcao	NOUN	NOUN	_	12	amod	_	TokenRange=60:69
14	a	o	DET	DET	_	15	det	_	TokenRange=70:71
15	palestra	palestra	NOUN	NOUN	_	26	nsubj	_	TokenRange=72:80
16-17	do	_	_	_	_	_	_	_	TokenRange=81:83
16	de	de	ADP	ADP	_	18	case	_	_
17	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	18	det	_	_
